,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
7,総合計,平成17年度,27677,62236,25045,51396,57880,204194,504735,3374269,2640386,1627738,948779,784312,1392178,11673148
8,総合計,平成18年度,27917,69665,22264,46910,91308,148044,589716,3475659,2855423,1740542,1133020,664344,1565211,12402106
9,総合計,平成19年度,29080,92902,27803,63999,241385,181969,676431,3540054,3082134,1887883,1137777,615984,1370260,12918581
10,総合計,平成20年度,29355,185907,99650,130920,232749,679921,1178302,4386270,2715766,1427801,764913,419815,936716,13158730
11,総合計,平成21年度,29096,288759,83483,146949,223976,563116,998141,4285192,2747182,1580174,892968,547283,876566,13233789
12,合計,平成17年度,26114,54523,23298,43527,54225,192274,475323,3203997,2403504,1558208,873454,720984,1263437,10866754
13,合計,平成18年度,26605,60857,18172,32640,70150,138372,556971,3286913,2732160,1670199,1071196,644516,1380508,11662654
14,合計,平成19年度,28052,80303,25152,61123,226739,176654,638854,3439875,3005786,1843346,1108442,580954,1265086,12452314
15,合計,平成20年度,28244,177119,94371,127615,229532,653645,1142071,4242517,2625012,1358748,718022,398144,843157,12609953
16,合計,平成21年度,27871,282666,81065,145362,214256,537587,971785,4118221,2647882,1484709,854367,495414,781479,12614793
17,　鉱業、採石業、砂利採取業,平成17年度,37,57,-,136,-,82,68,425,641,275,404,-,3626,5714
18,　鉱業、採石業、砂利採取業,平成18年度,38,50,-,127,-,74,-,781,549,238,382,90,3793,6084
19,　鉱業、採石業、砂利採取業,平成19年度,36,-,-,-,70,60,147,590,1029,234,52,354,2245,4781
20,　鉱業、採石業、砂利採取業,平成20年度,37,89,-,-,50,217,324,722,722,62,364,154,3432,6136
21,　鉱業、採石業、砂利採取業,平成21年度,36,-,-,-,-,93,142,1331,285,223,-,364,3658,6096
22,　製造業,平成17年度,12990,30533,12170,32283,28482,116493,171744,1053035,1016753,774116,480573,407231,864287,4987700
23,　製造業,平成18年度,12777,28866,9781,16205,40520,65495,276709,924093,1059361,851281,500119,367795,909840,5050065
24,　製造業,平成19年度,13354,42605,12767,34153,41053,79491,266084,1057226,1166314,831473,608982,329420,823388,5292956
25,　製造業,平成20年度,13394,137613,74591,98161,180196,404875,555112,1534294,893051,487593,326210,179632,454710,5326038
26,　製造業,平成21年度,13105,225244,55246,105587,139299,327854,434436,1323488,1026975,574369,363863,216990,401793,5195144
27,　　090　食料品製造業,平成21年度,1498,1263,1061,2226,7029,12125,23120,177565,184564,73400,32629,19739,22664,557385
28,　　100　飲料・たばこ・飼料製造業,平成21年度,198,-,186,206,569,1456,3353,22273,16953,5836,20699,1428,3680,76639
29,　　110　繊維工業,平成21年度,502,5913,2117,3284,3300,8762,9406,26685,14306,8432,3650,3069,1578,90502
30,　　120　木材・木製品製造業（家具を除く）,平成21年度,152,2450,846,838,1003,2824,2827,11114,2200,1517,677,239,525,27060
31,　　130　家具・装備品製造業,平成21年度,135,2196,248,2731,1538,1687,2753,15351,2296,1661,665,1063,1000,33189
32,　　140　パルプ・紙・紙加工品製造業,平成21年度,398,-,145,520,218,2182,5086,25906,24637,23409,11473,4421,4792,102789
33,　　150　印刷・同関連業,平成21年度,599,1602,1023,1309,2958,9686,13044,38599,45930,16060,7701,4439,4758,147109
34,　　160　化学工業,平成21年度,928,4979,1732,1408,11339,22628,5330,59283,60614,61374,42589,39700,141626,452602
35,　　170　石油製品・石炭製品製造業,平成21年度,52,75,-,-,546,1451,2748,14588,1956,6210,1371,-,491,29436
36,　　180　プラスチック製品製造業,平成21年度,752,3804,1353,2560,5217,9313,17093,36054,38668,26189,17021,11147,15691,184110
37,　　190　ゴム製品製造業,平成21年度,140,540,76,817,1239,2853,2294,17775,26837,11705,2637,849,1567,69189
38,　　200　なめし革・同製品・毛皮製造業,平成21年度,29,127,-,130,269,91,784,1163,631,158,-,405,125,3883
39,　　210　窯業・土石製品製造業,平成21年度,455,4122,1354,2469,4302,3003,9075,23681,26085,9882,5072,6187,5622,100854
40,　　220　鉄鋼業,平成21年度,452,12236,5627,8864,24322,5405,19534,56025,16180,5215,6960,2165,10013,172546
41,　　230　非鉄金属製造業,平成21年度,354,6159,555,1372,1733,7114,33449,35430,18327,11870,6732,4362,4016,131119
42,　　240　金属製品製造業,平成21年度,1007,7081,2494,3479,8633,16321,12231,67932,42998,17966,13548,12241,13869,218793
43,　　250　はん用機械器具製造業,平成21年度,567,8863,3249,7882,5376,13788,11729,61841,18208,19802,11567,9127,22716,194148
44,　　260　生産用機械器具製造業,平成21年度,931,51541,6662,6431,15192,17032,23037,34923,23707,14798,21314,7448,14650,236735
45,　　270　業務用機械器具製造業,平成21年度,472,9648,1024,8544,3270,5230,17599,33911,44606,20887,47075,11654,30894,234342
46,　　280　電子部品・デバイス・電子回路製造業,平成21年度,749,40826,8148,7343,14361,19022,12861,64211,70326,34447,47988,20661,25733,365927
47,　　290　電気機械器具製造業,平成21年度,801,28458,4999,8800,7996,25081,28002,75965,84150,36240,21527,6411,10892,338521
48,　　300　情報通信機械器具製造業,平成21年度,337,1811,8381,4887,298,70840,33827,137401,95384,25499,4287,1653,5114,389382
49,　　310　輸送用機械器具製造業,平成21年度,1233,29244,3825,27632,14913,58340,139529,261102,137942,131367,30534,45541,48992,928961
50,　　320　その他の製造業,平成21年度,364,2306,141,1855,3678,11620,5725,24710,29470,10445,6147,3041,10785,109923
51,　電気・ガス業,平成17年度,104,465,65,65,78,157,1930,4653,15557,9063,70870,62034,8281,173218
52,　電気・ガス業,平成18年度,108,152,-,60,194,456,1207,5552,5897,30460,111928,581,17427,173914
53,　電気・ガス業,平成19年度,125,201,182,205,644,265,38801,28357,15908,83176,7207,59,1240,176245
54,　電気・ガス業,平成20年度,119,509,52,7233,59,14201,73378,12994,40578,22296,5503,364,1093,178260
55,　電気・ガス業,平成21年度,122,481,52,156,142,747,75,18263,65065,33516,57184,631,2098,178410
56,　　331　電気業,平成21年度,37,-,-,-,-,-,-,17280,57686,17033,48716,-,1076,141791
57,　　341　ガス業,平成21年度,85,481,52,156,142,747,75,983,7379,16483,8468,631,1022,36619
58,　情報通信業,平成17年度,1866,4813,3110,1665,3458,4083,15502,140315,126805,169746,89915,105270,77088,741770
59,　情報通信業,平成18年度,1860,5417,1916,1575,5173,7939,13576,86688,132978,135285,110350,87604,108309,696810
60,　情報通信業,平成19年度,2069,5332,1376,1913,2696,7805,11516,110822,148678,143983,129363,84077,128992,776553
61,　情報通信業,平成20年度,2177,8909,1930,3480,4580,10856,31646,152058,130636,161066,107208,57896,111696,781961
62,　情報通信業,平成21年度,2204,10055,3163,6734,4539,21524,44499,150260,170428,150150,100594,52250,121352,835548
63,　　391　ソフトウェア業,平成21年度,1302,5581,1595,4980,2370,9552,26338,96702,89288,71524,56281,25340,54875,444426
64,　　392　情報処理・提供サービス業,平成21年度,476,1206,918,356,490,5064,3222,33775,50602,67140,38257,18410,37217,256657
65,　　401　インターネット附随サービス業,平成21年度,120,1150,-,539,219,1182,768,4267,6679,2202,2582,2324,19363,41275
66,　　411　映画・ビデオ制作業（※）,平成21年度,91,421,251,736,75,185,1029,3981,3221,2447,211,1167,969,14693
67,　　413　新聞業,平成21年度,89,466,54,123,769,3573,9434,7368,16328,3465,753,1257,407,43997
68,　　414　出版業,平成21年度,126,1231,345,-,616,1968,3708,4167,4310,3372,2510,3752,8521,34500
69,　卸売業,平成17年度,5747,4973,794,2030,3640,10844,60732,644654,339858,165306,73045,31476,68096,1405448
70,　卸売業,平成18年度,5629,4511,2257,3634,4584,14176,54545,659746,363398,108922,56997,41627,71553,1385950
71,　卸売業,平成19年度,5780,4947,1940,2869,11875,19610,67102,690164,352861,148614,59310,24308,55785,1439385
72,　卸売業,平成20年度,5728,6581,7404,5086,12921,39445,121736,742080,251497,96733,42630,26061,36156,1388330
73,　卸売業,平成21年度,5564,15437,2134,6464,16184,56103,117469,737224,229557,89826,36017,28647,38250,1373312
74,　　511　繊維品卸売業,平成21年度,76,60,53,-,560,208,272,6959,3408,1211,239,-,-,12970
