,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
5,総合計,平成16年度,28340,63821,29638,58581,62510,142078,464323,3909505,2443419,1606264,1001892,754916,1198374,11735321
6,総合計,平成17年度,27677,62236,25045,51396,57880,204194,504735,3374269,2640386,1627738,948779,784312,1392178,11673148
7,総合計,平成18年度,27917,69665,22264,46910,91308,148044,589716,3475659,2855423,1740542,1133020,664344,1565211,12402106
8,総合計,平成19年度,29080,92902,27803,63999,241385,181969,676431,3540054,3082134,1887883,1137777,615984,1370260,12918581
9,総合計,平成20年度,29355,185907,99650,130920,232749,679921,1178302,4386270,2715766,1427801,764913,419815,936716,13158730
10,合計,平成16年度,26813,49509,27725,54191,60364,130837,441214,3757483,2301566,1521650,940481,694603,1080883,11060506
11,合計,平成17年度,26114,54523,23298,43527,54225,192274,475323,3203997,2403504,1558208,873454,720984,1263437,10866754
12,合計,平成18年度,26605,60857,18172,32640,70150,138372,556971,3286913,2732160,1670199,1071196,644516,1380508,11662654
13,合計,平成19年度,28052,80303,25152,61123,226739,176654,638854,3439875,3005786,1843346,1108442,580954,1265086,12452314
14,合計,平成20年度,28244,177119,94371,127615,229532,653645,1142071,4242517,2625012,1358748,718022,398144,843157,12609953
15,　鉱業、採石業、砂利採取業,平成16年度,38,77,63,71,77,-,-,570,1631,135,470,93,3293,6480
16,　鉱業、採石業、砂利採取業,平成17年度,37,57,-,136,-,82,68,425,641,275,404,-,3626,5714
17,　鉱業、採石業、砂利採取業,平成18年度,38,50,-,127,-,74,-,781,549,238,382,90,3793,6084
18,　鉱業、採石業、砂利採取業,平成19年度,36,-,-,-,70,60,147,590,1029,234,52,354,2245,4781
19,　鉱業、採石業、砂利採取業,平成20年度,37,89,-,-,50,217,324,722,722,62,364,154,3432,6136
20,　製造業,平成16年度,13235,26357,17971,29941,25484,61169,192425,1211863,1118781,753612,571112,419259,658338,5086312
21,　製造業,平成17年度,12990,30533,12170,32283,28482,116493,171744,1053035,1016753,774116,480573,407231,864287,4987700
22,　製造業,平成18年度,12777,28866,9781,16205,40520,65495,276709,924093,1059361,851281,500119,367795,909840,5050065
23,　製造業,平成19年度,13354,42605,12767,34153,41053,79491,266084,1057226,1166314,831473,608982,329420,823388,5292956
24,　製造業,平成20年度,13394,137613,74591,98161,180196,404875,555112,1534294,893051,487593,326210,179632,454710,5326038
25,　　090　食料品製造業,平成20年度,1504,2975,1326,8562,2329,12407,35120,205257,177488,52581,15264,9184,12303,534796
26,　　100　飲料・たばこ・飼料製造業,平成20年度,200,59,160,653,358,2677,3026,28422,13930,8983,11705,9263,3169,82405
27,　　110　繊維工業,平成20年度,540,5013,1919,2144,2218,11774,20057,29369,18855,12056,4013,3368,3319,114105
28,　　120　木材・木製品製造業（家具を除く）,平成20年度,143,1053,1089,1252,1537,2728,3535,12252,1867,1195,-,73,645,27226
29,　　130　家具・装備品製造業,平成20年度,139,1142,757,810,1199,2477,6645,12296,7766,1241,1792,175,271,36571
30,　　140　パルプ・紙・紙加工品製造業,平成20年度,397,748,142,733,1751,1481,7840,51525,20657,7425,7836,854,1746,102738
31,　　150　印刷・同関連業,平成20年度,614,338,2031,1922,4312,10033,8265,58335,35362,12073,8307,4394,5904,151276
32,　　160　化学工業,平成20年度,941,5272,2029,1480,23881,23735,23431,67869,56240,51127,35367,34632,131388,456451
33,　　170　石油製品・石炭製品製造業,平成20年度,60,181,124,587,255,6620,1862,9609,4067,2907,3808,181,1309,31510
34,　　180　プラスチック製品製造業,平成20年度,749,2089,807,2910,10035,10715,23123,67847,36751,13829,9228,2587,6867,186788
35,　　190　ゴム製品製造業,平成20年度,156,57,-,576,5866,1577,14729,11981,3664,21197,3317,7667,1098,71729
36,　　200　なめし革・同製品・毛皮製造業,平成20年度,34,1029,143,-,262,166,114,877,1065,188,-,-,477,4321
37,　　210　窯業・土石製品製造業,平成20年度,468,2074,1180,3517,3234,10167,10291,29900,15921,8549,3346,5844,9348,103371
38,　　220　鉄鋼業,平成20年度,439,2977,213,543,1603,9316,15272,32939,36228,9486,26788,3786,43210,182361
39,　　230　非鉄金属製造業,平成20年度,350,4966,1570,4707,5482,9681,25465,46913,10703,11608,2129,1613,4044,128881
40,　　240　金属製品製造業,平成20年度,1025,4452,3527,4995,7933,20133,13821,74025,33043,23128,18370,8315,17758,229500
