,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
7,総合計,平成26年度,30180,60171,30073,43483,123845,239331,550524,3967766,3281353,2257552,1334535,939129,1935131,14762893
8,総合計,平成27年度,30231,76216,41664,64067,81521,193552,612730,3804993,3314852,2644163,1432669,940394,2014781,15221602
9,総合計,平成28年度,30151,83650,27321,44985,60609,165550,424227,3754856,3454044,2668775,1469932,897393,2088641,15139983
10,総合計,平成29年度,29530,76549,18998,35020,75641,155220,452852,3622057,3128649,2676197,1761478,787581,2362377,15152619
11,総合計,平成30年度,29780,85674,17469,50094,107515,185799,505794,3801199,3120867,2660768,1560029,893542,2413369,15402119
12,合計,平成26年度,28758,58488,29036,42330,120182,235698,520855,3808799,3134414,2140138,1260611,910225,1797014,14057790
13,合計,平成27年度,28759,74716,40993,63564,74759,186086,600063,3648219,3171959,2511367,1359595,899655,1840078,14471054
14,合計,平成28年度,28715,80459,24777,43700,59756,158843,417315,3611900,3306542,2531022,1353960,865287,1923232,14376793
15,合計,平成29年度,28160,75698,16350,34794,75038,152318,441177,3484634,2994643,2584696,1697662,725760,2178740,14461510
16,合計,平成30年度,28405,79938,16587,49350,102501,179015,494050,3647655,3005523,2545246,1473912,860697,2206052,14660526
17,　鉱業、採石業、砂利採取業,平成26年度,39,-,-,-,-,-,-,858,550,674,341,-,4139,6562
18,　鉱業、採石業、砂利採取業,平成27年度,36,-,844,54,-,59,-,582,320,737,53,68,3864,6581
19,　鉱業、採石業、砂利採取業,平成28年度,35,1062,-,-,308,59,259,307,274,584,360,258,3102,6573
20,　鉱業、採石業、砂利採取業,平成29年度,38,363,-,-,-,-,195,448,169,674,440,-,4070,6359
21,　鉱業、採石業、砂利採取業,平成30年度,39,845,-,-,126,-,-,525,275,367,627,104,3449,6318
22,　製造業,平成26年度,12931,31095,18847,14478,46830,89747,178639,892812,886398,882429,588635,477848,1082517,5190275
23,　製造業,平成27年度,12891,42898,27128,29099,41629,115673,248839,940344,900119,812694,608456,451168,1062102,5280149
24,　製造業,平成28年度,12870,43042,10374,16475,32082,60986,167276,820875,1044391,880688,635635,412780,1140967,5265571
25,　製造業,平成29年度,12705,41185,8828,19155,36939,46298,163147,786956,892826,806079,818838,394210,1292284,5306745
26,　製造業,平成30年度,12826,38058,11453,27169,42155,68513,190066,901560,957117,830415,585226,426637,1249182,5327551
27,　　090　食料品製造業,平成30年度,1555,2518,1998,2957,5820,18128,46376,190458,161517,94282,27088,42136,49927,643205
28,　　100　飲料・たばこ・飼料製造業,平成30年度,196,416,212,343,664,2100,771,14188,11034,12809,6747,7469,19020,75773
