,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
7,総合計,平成21年度,29096,288759,83483,146949,223976,563116,998141,4285192,2747182,1580174,892968,547283,876566,13233789
8,総合計,平成22年度,29570,102373,31413,62085,86305,268108,749045,4053461,3264564,1931330,1101244,721562,1250062,13621552
9,総合計,平成23年度,30647,142876,42540,125137,104195,300839,628456,4132425,3367836,2189228,1080891,577860,1330229,14022512
10,総合計,平成24年度,30584,162261,26819,88618,134539,211710,668463,3924939,3500999,2246503,1155821,888149,1441554,14450375
11,総合計,平成25年度,30217,94312,45074,27103,115627,202890,544908,4069542,3304549,2328371,1293700,881750,1745389,14653215
12,合計,平成21年度,27871,282666,81065,145362,214256,537587,971785,4118221,2647882,1484709,854367,495414,781479,12614793
13,合計,平成22年度,28332,99108,30455,59860,82056,255960,690424,3897720,3134460,1825696,1074566,681031,1145831,12977167
14,合計,平成23年度,29376,139731,41838,123742,100602,292390,578475,3979900,3221993,2111796,1036914,549948,1219015,13396344
15,合計,平成24年度,29148,159138,25828,87538,129594,206034,626748,3772360,3328965,2150279,1107232,846970,1326127,13766813
16,合計,平成25年度,28788,92675,43279,25820,112624,198469,516129,3940451,3140051,2201439,1251270,824509,1629123,13975839
17,　鉱業、採石業、砂利採取業,平成21年度,36,-,-,-,-,93,142,1331,285,223,-,364,3658,6096
18,　鉱業、採石業、砂利採取業,平成22年度,37,-,-,-,58,147,73,923,502,117,1461,58,3284,6623
19,　鉱業、採石業、砂利採取業,平成23年度,41,-,-,-,72,172,121,1052,657,184,162,359,4806,7585
20,　鉱業、採石業、砂利採取業,平成24年度,39,70,-,-,55,327,-,412,885,310,130,210,5069,7468
21,　鉱業、採石業、砂利採取業,平成25年度,38,-,-,-,-,53,144,755,531,262,-,432,4222,6399
22,　製造業,平成21年度,13105,225244,55246,105587,139299,327854,434436,1323488,1026975,574369,363863,216990,401793,5195144
23,　製造業,平成22年度,13104,56703,16417,32251,50309,138334,293732,1123143,1277577,796043,548295,265390,645263,5243457
24,　製造業,平成23年度,13345,54170,28040,48943,69534,185503,281352,1358403,1064774,825078,498555,218949,627698,5260999
25,　製造業,平成24年度,13203,89055,17344,33720,96894,101033,272854,993311,1227883,879602,448673,450600,684322,5295291
26,　製造業,平成25年度,13053,56525,21524,16186,42814,76050,190034,939198,1051338,844327,665144,378675,997545,5279360
27,　　090　食料品製造業,平成25年度,1505,1344,3417,1769,3847,14174,46001,204494,173009,76268,31710,17653,30486,604172
28,　　100　飲料・たばこ・飼料製造業,平成25年度,196,127,236,261,479,1463,2748,19782,18234,11196,8056,2838,18729,84149
29,　　110　繊維工業,平成25年度,472,1901,296,729,997,2744,4269,22599,19985,10733,18050,2456,8100,92859
30,　　120　木材・木製品製造業（家具を除く）,平成25年度,153,-,-,120,279,-,732,7137,8150,5694,2000,1968,2223,28303
31,　　130　家具・装備品製造業,平成25年度,122,140,202,62,133,410,2242,9644,5115,5592,3375,5736,4279,36930
32,　　140　パルプ・紙・紙加工品製造業,平成25年度,390,652,80,-,1302,3256,4349,33342,30787,10597,11988,1284,3335,100972
33,　　150　印刷・同関連業,平成25年度,568,561,306,334,1451,1927,6433,45888,49224,19571,10831,4140,5859,146525
34,　　160　化学工業,平成25年度,945,1632,2396,467,1799,2607,3390,44761,79686,55714,45816,46021,218155,502444
35,　　170　石油製品・石炭製品製造業,平成25年度,48,-,-,-,563,209,1175,15078,1049,1196,863,934,1841,22908
36,　　180　プラスチック製品製造業,平成25年度,775,1131,596,1284,5122,4857,5807,40508,41663,31212,27739,9003,19590,188512
37,　　190　ゴム製品製造業,平成25年度,155,-,-,159,682,282,805,8788,6047,6645,3560,8832,35348,71148
38,　　200　なめし革・同製品・毛皮製造業,平成25年度,20,-,137,-,-,-,-,1238,519,113,66,62,273,2408
39,　　210　窯業・土石製品製造業,平成25年度,461,935,224,648,966,979,2996,26990,16693,12970,15645,9470,12757,101273
40,　　220　鉄鋼業,平成25年度,454,967,108,284,3341,3182,3567,28245,54706,53390,13640,7121,6120,174671
41,　　230　非鉄金属製造業,平成25年度,376,1909,496,134,1931,3409,4155,24662,41455,28996,12303,1460,12037,132947
42,　　240　金属製品製造業,平成25年度,1067,1558,736,592,1300,3654,7113,36739,45770,56178,33563,18546,38986,244735
43,　　250　はん用機械器具製造業,平成25年度,543,573,71,334,1868,486,3962,15249,24711,43715,27576,15286,44272,178103
44,　　260　生産用機械器具製造業,平成25年度,1013,8235,2197,1074,4005,4826,4799,34996,39202,43457,31381,27725,77844,279741
45,　　270　業務用機械器具製造業,平成25年度,461,1454,270,203,787,990,1196,20152,47094,36957,15459,16997,98253,239812
46,　　280　電子部品・デバイス・電子回路製造業,平成25年度,678,10792,7162,2616,4850,13275,33087,47477,46099,74590,29227,25907,73123,368205
47,　　290　電気機械器具製造業,平成25年度,751,14949,512,1005,2366,5931,10260,52220,104494,88151,30767,33716,30651,375022
48,　　300　情報通信機械器具製造業,平成25年度,270,1986,489,1810,958,1259,30689,75671,17066,19333,48892,16239,9925,224317
49,　　310　輸送用機械器具製造業,平成25年度,1284,3961,1434,2109,2621,4921,6518,111547,162529,139671,221293,95499,234332,986435
50,　　320　その他の製造業,平成25年度,346,1718,159,192,1167,1209,3741,11991,18051,12388,21344,9782,11027,92769
51,　電気・ガス業,平成21年度,122,481,52,156,142,747,75,18263,65065,33516,57184,631,2098,178410
52,　電気・ガス業,平成22年度,127,202,292,60,291,771,857,12702,19325,95991,20657,28092,1372,180612
53,　電気・ガス業,平成23年度,130,48822,-,39195,379,24776,10666,15755,26352,10379,3044,1997,764,182129
54,　電気・ガス業,平成24年度,130,45450,55,37556,94,41954,5317,9321,13642,14421,11698,1600,516,181624
55,　電気・ガス業,平成25年度,136,5967,11972,-,23208,19319,14669,47375,29784,18952,10652,501,760,183159
56,　　331　電気業,平成25年度,44,5967,11972,-,23032,19233,14404,43919,16483,8817,238,-,760,144825
