,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
5,総合計,平成20年度,29355,185907,99650,130920,232749,679921,1178302,4386270,2715766,1427801,764913,419815,936716,13158730
6,総合計,平成21年度,29096,288759,83483,146949,223976,563116,998141,4285192,2747182,1580174,892968,547283,876566,13233789
7,総合計,平成22年度,29570,102373,31413,62085,86305,268108,749045,4053461,3264564,1931330,1101244,721562,1250062,13621552
8,総合計,平成23年度,30647,142876,42540,125137,104195,300839,628456,4132425,3367836,2189228,1080891,577860,1330229,14022512
9,総合計,平成24年度,30584,162261,26819,88618,134539,211710,668463,3924939,3500999,2246503,1155821,888149,1441554,14450375
10,合計,平成20年度,28244,177119,94371,127615,229532,653645,1142071,4242517,2625012,1358748,718022,398144,843157,12609953
11,合計,平成21年度,27871,282666,81065,145362,214256,537587,971785,4118221,2647882,1484709,854367,495414,781479,12614793
12,合計,平成22年度,28332,99108,30455,59860,82056,255960,690424,3897720,3134460,1825696,1074566,681031,1145831,12977167
13,合計,平成23年度,29376,139731,41838,123742,100602,292390,578475,3979900,3221993,2111796,1036914,549948,1219015,13396344
14,合計,平成24年度,29148,159138,25828,87538,129594,206034,626748,3772360,3328965,2150279,1107232,846970,1326127,13766813
15,　鉱業、採石業、砂利採取業,平成20年度,37,89,-,-,50,217,324,722,722,62,364,154,3432,6136
16,　鉱業、採石業、砂利採取業,平成21年度,36,-,-,-,-,93,142,1331,285,223,-,364,3658,6096
17,　鉱業、採石業、砂利採取業,平成22年度,37,-,-,-,58,147,73,923,502,117,1461,58,3284,6623
18,　鉱業、採石業、砂利採取業,平成23年度,41,-,-,-,72,172,121,1052,657,184,162,359,4806,7585
19,　鉱業、採石業、砂利採取業,平成24年度,39,70,-,-,55,327,-,412,885,310,130,210,5069,7468
20,　製造業,平成20年度,13394,137613,74591,98161,180196,404875,555112,1534294,893051,487593,326210,179632,454710,5326038
21,　製造業,平成21年度,13105,225244,55246,105587,139299,327854,434436,1323488,1026975,574369,363863,216990,401793,5195144
22,　製造業,平成22年度,13104,56703,16417,32251,50309,138334,293732,1123143,1277577,796043,548295,265390,645263,5243457
23,　製造業,平成23年度,13345,54170,28040,48943,69534,185503,281352,1358403,1064774,825078,498555,218949,627698,5260999
24,　製造業,平成24年度,13203,89055,17344,33720,96894,101033,272854,993311,1227883,879602,448673,450600,684322,5295291
