,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
8,総合計,平成12年度,27655,78518,27917,42349,112793,228231,576467,3651402,2323073,1432281,1008157,564046,889867,10935101
9,総合計,平成13年度,28151,146200,83981,121852,219811,413503,660192,3881194,2117453,1203016,872723,447124,748490,10915539
10,総合計,平成14年度,27545,102662,32406,53906,120923,207224,497691,3951310,2486434,1267832,863389,408822,864619,10857218
11,総合計,平成15年度,26634,51998,26143,45916,71996,178830,366181,3855748,2540877,1338840,947650,510613,957321,10892113
12,総合計,平成16年度,28340,63821,29638,58581,62510,142078,464323,3909442,2443482,1606264,1001892,754916,1198374,11735321
14,合計,平成12年度,26695,74365,24022,41682,111535,225357,565023,3552608,2221571,1380825,928361,551050,843172,10519571
15,合計,平成13年度,26877,140478,82284,120047,218395,406851,645075,3734886,2001052,1149832,846224,417994,683860,10446978
16,合計,平成14年度,26196,100328,32114,50068,116929,202571,475475,3809435,2371991,1207793,806511,379034,785149,10337398
17,合計,平成15年度,25368,47609,25607,44087,68909,170609,348556,3714199,2440562,1268438,902296,486527,884975,10402374
18,合計,平成16年度,26813,49509,27725,54191,60364,130837,441214,3757420,2301629,1521650,940481,694603,1080883,11060506
20,　鉱業,平成12年度,64,1997,-,50,-,330,237,2567,794,767,380,-,3082,10204
21,　鉱業,平成13年度,58,170,-,72,236,76,482,2215,683,381,73,-,3468,7856
22,　鉱業,平成14年度,48,321,-,-,-,54,252,1826,662,313,118,360,3355,7261
23,　鉱業,平成15年度,43,158,-,-,-,-,134,1947,1054,398,73,172,3705,7641
24,　鉱業,平成16年度,38,77,63,71,77,-,-,570,1631,135,470,93,3293,6480
26,　製造業,平成12年度,13265,36309,15023,22030,69232,118455,214864,1424607,1138088,854531,539765,247699,558121,5238724
27,　製造業,平成13年度,13247,99608,66900,97816,173142,306924,322350,1471335,916641,570941,362454,223496,426311,5037918
28,　製造業,平成14年度,12946,53476,20509,37557,72619,107122,236259,1451254,1116642,668541,363945,202495,492638,4823057
29,　製造業,平成15年度,12450,31568,16958,24530,44579,101260,141107,1329695,1185293,685584,493210,227173,565636,4846593
30,　製造業,平成16年度,13235,26357,17971,29941,25484,61169,192425,1211800,1118844,753612,571112,419259,658338,5086312
32,　　090 食料品製造業,平成16年度,1435,1858,1284,1301,4914,9957,36018,169847,146504,51669,26950,13914,22704,486920
34,　　100 飲料・たばこ・飼料製造業,平成16年度,210,326,149,310,192,623,1608,22546,22821,5437,36659,1879,4356,96906
36,　　110 繊維工業,平成16年度,285,1053,181,1077,996,1688,1633,12951,11471,14690,2288,3171,2614,53813
38,　　120 衣服・その他の繊維製品製造業,平成16年度,283,497,634,1625,1447,1278,3704,17016,10155,7364,2762,4384,1406,52272
40,　　130 木材・木製品製造業（家具を除く）,平成16年度,140,-,126,107,201,245,663,10270,6185,3032,2000,983,692,24504
42,　　140 家具・装備品製造業,平成16年度,149,108,159,526,1179,1080,1997,14004,4549,8148,880,77,2524,35231
44,　　150 パルプ・紙・紙加工品製造業,平成16年度,422,588,223,116,963,2330,1442,29334,20346,26447,12736,5812,6015,106352
46,　　160 印刷・同関連業,平成16年度,634,466,-,263,485,2455,4694,35458,29751,40429,12943,6689,12021,145654
48,　　170 化学工業,平成16年度,956,1293,1190,383,1285,1131,4836,30448,47297,52734,96910,63602,176853,477962
50,　　180 石油製品・石炭製品製造業,平成16年度,49,-,-,-,-,97,519,7438,12394,1905,2060,73,145,24631
52,　　190 プラスチック製品製造業,平成16年度,718,600,140,841,782,2641,6443,46405,33140,18379,11560,9702,24937,155570
54,　　200 ゴム製品製造業,平成16年度,159,469,-,170,-,1046,1222,7364,13310,12258,8514,4299,17916,66568
56,　　210 なめし革・同製品・毛皮製造業,平成16年度,34,-,-,94,-,77,276,1606,1399,394,240,-,146,4232
58,　　220 窯業・土石製品製造業,平成16年度,519,841,753,515,1014,1049,4509,30346,28377,18971,19549,4739,33185,143848
60,　　230 鉄鋼業,平成16年度,402,113,85,117,217,468,865,14038,18788,23953,22380,10119,72489,163632
62,　　240 非鉄金属製造業,平成16年度,309,485,-,305,67,2547,4238,34149,37072,10042,12308,7481,5648,114342
64,　　250 金属製品製造業,平成16年度,1003,1091,206,896,1436,2032,4780,61216,65939,36277,21825,10171,22176,228045
66,　　260 一般機械器具製造業,平成16年度,1597,1981,589,1516,2525,4592,49454,74348,110485,53263,94072,59228,100168,552221
68,　　270 電気機械器具製造業,平成16年度,948,5357,217,690,3634,7119,9840,72278,149414,51144,39033,9446,35593,383765
70,　　280 情報通信機械器具製造業,平成16年度,389,1775,1434,895,98,1386,14164,257748,55460,51996,6191,5314,10639,407100
72,　　290 電子部品・デバイス製造業,平成16年度,703,3345,8963,2120,347,4664,20192,57547,73229,36532,17925,29363,51875,306102
74,　　300 輸送用機械器具製造業,平成16年度,1158,2957,939,15247,2248,7878,11208,167690,180749,185967,84300,150491,21751,831425
76,　　310 精密機械器具製造業,平成16年度,419,813,462,726,1013,2808,5766,19014,24100,24813,17143,11488,20830,128976
78,　　320 その他の製造業,平成16年度,314,341,237,101,441,1978,2354,18739,15909,17768,19884,6834,11655,96241
80,　卸売・小売業,平成12年度,9925,8815,4642,15102,28622,87630,290670,1818073,777292,292521,102014,54417,115994,3595792
81,　卸売・小売業,平成13年度,9885,14438,6519,16136,25554,69745,274841,1909949,749155,244293,161963,66062,114442,3653097
82,　卸売・小売業,平成14年度,9513,7748,4243,4916,26579,60738,163513,1885740,907894,268055,132708,81475,119103,3662712
83,　卸売・小売業,平成15年度,9120,3980,4486,6526,14720,43094,153479,1885618,866478,256727,142606,112555,126807,3617076
84,　卸売・小売業,平成16年度,9545,9286,3949,14658,14640,49819,182237,2025328,797845,351942,168475,129696,150709,3898584
86,　卸売業,平成12年度,6414,4868,1762,4851,9733,22438,112949,784214,343260,146009,51418,24876,56369,1562747
87,　卸売業,平成13年度,6251,4581,2222,6544,14304,26337,165873,868332,228568,103200,46644,26819,37817,1531241
88,　卸売業,平成14年度,6022,3019,1961,3376,14724,27563,74540,862748,270010,98605,42002,35782,44828,1479158
89,　卸売業,平成15年度,5767,2051,2509,4549,5803,18718,61936,788656,281421,86793,51285,21108,64793,1389622
90,　卸売業,平成16年度,5948,5924,2096,12209,5378,18556,50585,737685,309737,136322,57174,40060,55047,1430773
92,　　501 繊維品卸売業,平成16年度,98,-,-,-,71,251,1206,8654,3671,2005,154,589,-,16601
94,　　502 衣服・身の回り品卸売業,平成16年度,368,2526,698,1081,1097,6125,4048,32968,15969,16833,7862,2198,9810,101215
96,　　511 農畜産物・水産物卸売業,平成16年度,483,58,-,96,411,650,5590,70239,9467,1151,69,232,354,88317
98,　　512 食料・飲料卸売業,平成16年度,591,76,60,270,260,1551,10268,93910,38810,11330,2632,10055,4102,173324
100,　　521 建築材料卸売業,平成16年度,463,-,-,107,240,451,2074,40506,15809,4248,1995,1538,1055,68023
102,　　522 化学製品卸売業,平成16年度,359,442,-,-,534,158,201,33338,12227,6902,3973,1015,4410,63200
104,　　523 鉱物・金属材料卸売業,平成16年度,498,-,-,-,-,283,2413,85490,24803,7778,1876,2304,1207,126154
106,　　524 再生資源卸売業,平成16年度,48,-,-,-,134,-,-,1936,1175,1702,927,114,606,6594
108,　　531 一般機械器具卸売業,平成16年度,536,165,-,478,61,443,3876,48873,47423,8934,9499,3121,2079,124952
110,　　532 自動車卸売業,平成16年度,368,-,-,-,771,695,1788,38003,24015,5235,3050,1197,164,74918
112,　　533 電気機械器具卸売業,平成16年度,672,759,155,222,-,3112,7589,85874,42420,29915,10484,4052,11575,196157
114,　　539 その他の機械器具卸売業,平成16年度,330,-,64,190,591,1040,1215,28735,19004,7217,3969,3164,5438,70627
116,　　541 家具・建具・じゅう器等卸売業,平成16年度,163,72,118,329,808,815,1133,13308,5014,10024,2244,462,737,35064
118,　　542 医薬品・化粧品等卸売業,平成16年度,228,518,595,9273,-,364,4860,89375,12366,5644,2621,2162,5586,133364
120,　　549 その他の卸売業,平成16年度,743,1308,406,163,400,2618,4324,66476,37564,17404,5819,7857,7924,152263
122,　小売業,平成12年度,3511,3947,2880,10251,18889,65192,177721,1033859,434032,146512,50596,29541,59625,2033045
123,　小売業,平成13年度,3634,9857,4297,9592,11250,43408,108968,1041617,520587,141093,115319,39243,76625,2121856
124,　小売業,平成14年度,3491,4729,2282,1540,11855,33175,88973,1022992,637884,169450,90706,45693,74275,2183554
125,　小売業,平成15年度,3353,1929,1977,1977,8917,24376,91543,1096962,585057,169934,91321,91447,62014,2227454
126,　小売業,平成16年度,3597,3362,1853,2449,9262,31263,131652,1287643,488108,215620,111301,89636,95662,2467811
128,　　560 織物・衣服・身の回り品小売業,平成16年度,419,777,174,594,1324,8568,14806,132549,64820,44178,34388,22161,57198,381537
130,　　570 飲食料品小売業,平成16年度,928,456,103,359,1856,10617,57822,735657,221677,83913,29542,34588,6518,1183108
132,　　580 自動車・自転車小売業,平成16年度,881,134,220,884,2278,5553,19147,167939,53184,8321,2214,333,931,261138
134,　　591 家具・建具・じゅう器小売業,平成16年度,84,170,-,82,586,-,12333,9981,4134,3140,18280,3526,6525,58757
136,　　592 機械器具小売業,平成16年度,195,307,124,332,885,2159,5726,33240,25276,6783,1300,1139,7245,84516
138,　　601 医薬品・化粧品小売業,平成16年度,189,-,77,-,554,62,2733,37985,28840,38080,4823,8818,2347,124319
140,　　603 燃料小売業,平成16年度,346,-,686,-,212,658,2854,58453,10814,4438,826,354,1745,81040
142,　　609 その他の小売業,平成16年度,555,1518,469,198,1567,3646,16231,111839,79363,26767,19928,18717,13153,293396
144,　飲食店,平成12年度,421,691,170,453,6036,4024,35707,108533,127920,91593,18268,169695,23034,586124
145,　飲食店,平成13年度,491,3409,2812,950,7482,13394,14075,156423,127494,165666,60155,34156,20027,606043
146,　飲食店,平成14年度,511,14774,1066,910,8554,19454,35821,251429,141135,57144,78070,14694,44066,667117
147,　飲食店,平成15年度,496,459,206,1907,3499,11305,29548,257178,164825,117407,27548,17611,32774,664267
148,　飲食店,平成16年度,551,2680,1834,1395,2994,9332,38396,279218,158841,178980,33669,5431,26063,738833
150,　　701 一般飲食店,平成16年度,513,2382,1669,1395,2802,9142,34414,268508,155416,169255,30078,5215,26013,706289
152,　　711 その他の飲食店,平成16年度,38,298,165,-,192,190,3982,10710,3425,9725,3591,216,50,32544
154,  電気・ガス業,平成12年度,104,51,-,-,785,67,559,3917,8641,3289,169733,7730,893,195665
155,  電気・ガス業,平成13年度,101,-,130,176,-,69,747,2374,6406,6315,161737,10681,2445,191080
156,  電気・ガス業,平成14年度,103,211,120,-,169,619,253,3263,4035,48221,124704,2256,1884,185735
157,  電気・ガス業,平成15年度,105,54,-,-,617,231,555,3993,3110,5251,100458,52749,14891,181909
158,  電気・ガス業,平成16年度,109,-,-,-,913,208,702,3928,5479,16636,41130,47372,61137,177505
160,　　331 電気業,平成16年度,29,-,-,-,95,-,172,2871,266,13482,38652,43167,40239,138944
162,　　341 ガス業,平成16年度,80,-,-,-,818,208,530,1057,5213,3154,2478,4205,20898,38561
164,643 クレジットカード業・割賦金融業,平成12年度,82,3171,-,-,-,-,-,1286,3898,12498,3867,2216,27033,53969
165,643 クレジットカード業・割賦金融業,平成13年度,79,1002,-,-,-,-,-,724,6715,11065,3540,16582,11061,50689
166,643 クレジットカード業・割賦金融業,平成14年度,75,1493,715,-,-,-,254,5088,1565,8660,7396,11816,13232,50219
167,643 クレジットカード業・割賦金融業,平成15年度,72,80,-,-,-,1450,-,3336,7230,6947,4279,1666,25363,50351
168,643 クレジットカード業・割賦金融業,平成16年度,70,54,-,-,250,-,209,181,5248,9388,537,1580,27818,45265
170,  情報サービス・情報制作業,平成12年度,1555,1839,1600,974,3570,7344,10327,96518,96348,95498,73001,54198,86045,527262
171,  情報サービス・情報制作業,平成13年度,1692,3956,1778,2135,3898,8383,9104,96719,128372,104937,74990,44298,87260,565830
172,  情報サービス・情報制作業,平成14年度,1743,5147,2552,3688,3820,7826,14002,111031,132879,124333,62426,48924,91423,608051
173,  情報サービス・情報制作業,平成15年度,1732,3431,1098,1009,2931,5513,13842,124555,120976,145104,75461,54395,81710,630025
174,  情報サービス・情報制作業,平成16年度,1943,4080,2167,3766,8801,4940,19626,134319,123825,141858,91126,64466,115547,714521
176,　　情報サービス業,平成12年度,1263,1421,1539,499,3455,4967,7887,73196,85877,76559,59659,43138,69398,427595
177,　　情報サービス業,平成13年度,1398,3044,1321,2135,2317,5122,7129,76394,113963,79044,68996,36373,75927,471765
178,　　情報サービス業,平成14年度,1451,4452,2072,2787,2743,6477,11702,89102,110090,104509,55715,41730,81812,513191
179,　　情報サービス業,平成15年度,1440,2991,382,603,2167,4064,11215,104495,100499,126400,65589,46091,71504,536000
180,　　情報サービス業,平成16年度,1618,3445,1925,2928,8647,3939,15762,111394,110832,115763,81081,54485,106062,616263
182,　　　391 ソフトウェア業,平成16年度,1162,2912,1925,1994,8122,2535,9827,82603,74870,75602,55519,28144,54123,398176
184,　　　392 情報処理・提供サービス業,平成16年度,456,533,-,934,525,1404,5935,28791,35962,40161,25562,26341,51939,218087
186,　　410 情報制作業,平成12年度,292,418,61,475,115,2377,2440,23322,10471,18939,13342,11060,16647,99667
187,　　410 情報制作業,平成13年度,294,912,457,-,1581,3261,1975,20325,14409,25893,5994,7925,11333,94065
188,　　410 情報制作業,平成14年度,292,695,480,901,1077,1349,2300,21929,22789,19824,6711,7194,9611,94860
189,　　410 情報制作業,平成15年度,292,440,716,406,764,1449,2627,20060,20477,18704,9872,8304,10206,94025
190,　　410 情報制作業,平成16年度,325,635,242,838,154,1001,3864,22925,12993,26095,10045,9981,9485,98258
192,　　　411 映画・ビデオ制作業,平成16年度,88,245,64,-,-,-,512,2425,2439,2834,1969,1801,2249,14538
194,　　　413 新聞業,平成16年度,89,64,178,168,77,190,803,13870,5868,14492,3727,4808,2861,47106
196,　　　414 出版業,平成16年度,148,326,-,670,77,811,2549,6630,4686,8769,4349,3372,4375,36614
198,  774 個人教授所,平成12年度,53,-,61,59,95,567,1170,7924,6909,1392,2886,1017,1402,23482
199,  774 個人教授所,平成13年度,55,570,-,-,1453,200,715,4626,2531,3889,5243,1353,1416,21996
200,  774 個人教授所,平成14年度,41,-,-,-,-,-,2692,5773,4784,978,4166,1186,2240,21819
201,  774 個人教授所,平成15年度,41,-,151,-,-,-,1970,3290,4660,6059,20503,1235,2279,40147
202,  774 個人教授所,平成16年度,43,333,-,1744,-,-,169,5657,2983,19032,2823,4221,4513,41475
204,  サービス業,平成12年度,1600,23533,3547,3441,3349,7753,14088,132639,101474,49792,65342,20466,60067,485491
205,  サービス業,平成13年度,1747,19196,4947,3839,6719,9143,25782,145894,126943,65594,22908,33395,65158,529518
206,  サービス業,平成14年度,1740,18038,3023,3283,7836,7952,26226,156107,113671,55021,70099,30637,68252,560145
207,  サービス業,平成15年度,1772,10174,2969,11046,2958,10201,15189,165341,126250,71997,56473,35730,72445,580773
208,  サービス業,平成16年度,1923,9431,1855,3386,7963,7039,12813,171948,164711,86254,53382,56629,102068,677479
210,　サービス業(その他のサービス業を除く),平成12年度,1226,21492,2526,3014,3195,6940,11489,89183,61681,28736,18447,14078,27568,288349
211,　サービス業(その他のサービス業を除く),平成13年度,1269,17325,4145,2762,6630,8060,22761,90521,63055,42345,16069,21366,17430,312469
212,　サービス業(その他のサービス業を除く),平成14年度,1216,17158,2909,2997,5188,6758,22429,94031,62395,31548,32978,15828,17208,311427
213,　サービス業(その他のサービス業を除く),平成15年度,1309,7879,2708,10115,2563,7756,7921,104587,86936,44961,38158,18971,31810,364365
214,　サービス業(その他のサービス業を除く),平成16年度,1279,6642,1741,2616,7205,5369,7450,96419,86933,50067,31139,22485,33465,351531
216,　　806 デザイン業・機械設計業,平成16年度,68,-,112,-,-,-,544,3997,7364,4797,2922,281,2846,22863
218,　　809 エンジニアリング業,平成16年度,122,229,-,-,-,869,404,23152,12148,7844,2497,5139,1727,54009
220,　　836 冠婚葬祭業（互助会を除く）,平成16年度,89,449,-,127,367,957,875,5146,2425,4543,999,1602,7251,24741
222,　　839 写真現像・焼付業,平成16年度,19,339,-,-,570,167,-,734,2206,-,50,-,69,4135
224,　　843 ゴルフ場,平成16年度,353,5188,1629,1816,1101,1921,3507,7433,2582,2833,1319,2042,4832,36203
226,　　845 遊園地・テーマパーク,平成16年度,25,269,-,-,5109,-,208,867,2844,757,120,690,2607,13471
228,　　846 ボウリング場,平成16年度,8,-,-,-,-,-,56,200,-,192,64,-,76,588
230,　　871 機械修理業,平成16年度,183,-,-,-,58,316,1016,26746,19767,14099,10369,5737,7450,85558
232,　　891 広告代理業,平成16年度,156,66,-,-,-,-,745,16716,15621,1942,1786,2241,1683,40800
234,　　物品賃貸業（レンタル業を除く）,平成16年度,209,102,-,569,-,169,95,9288,21222,10727,10139,4114,3931,60356
236,　　　882 産業用機械器具賃貸業,平成16年度,86,102,-,51,-,169,-,4812,7704,2206,2202,843,1271,19360
238,　　　883 事務用機械器具賃貸業,平成16年度,41,-,-,518,-,-,-,1891,5639,4610,363,164,1702,14887
240,　　　884 自動車賃貸業,平成16年度,53,-,-,-,-,-,-,1916,7255,2176,826,2589,-,14762
242,　　　885 スポーツ・娯楽用品賃貸業,平成16年度,1,X,X,X,X,X,X,X,X,X,X,X,X,X
244,　　　888 その他の物品賃貸業,平成16年度,28,X,X,X,X,X,X,X,X,X,X,X,X,X
246,　　902 商品検査業,平成16年度,9,-,-,-,-,813,-,326,-,322,186,-,737,2384
248,　　903 計量証明業,平成16年度,28,-,-,104,-,157,-,946,464,1706,688,639,169,4873
250,　　909 ディスプレイ業,平成16年度,10,-,-,-,-,-,-,868,290,305,-,-,87,1550
252,　サービス業(その他のサービス業),平成12年度,374,2041,1021,427,154,813,2599,43456,39793,21056,46895,6388,32499,197142
253,　サービス業(その他のサービス業),平成13年度,478,1871,802,1077,89,1083,3021,55373,63888,23249,6839,12029,47728,217049
254,　サービス業(その他のサービス業),平成14年度,524,880,114,286,2648,1194,3797,62076,51276,23473,37121,14809,51044,248718
