,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
5,総合計,平成19年度,29080,92902,27803,63999,241385,181969,676431,3540054,3082134,1887883,1137777,615984,1370260,12918581
6,総合計,平成20年度,29355,185907,99650,130920,232749,679921,1178302,4386270,2715766,1427801,764913,419815,936716,13158730
7,総合計,平成21年度,29096,288759,83483,146949,223976,563116,998141,4285192,2747182,1580174,892968,547283,876566,13233789
8,総合計,平成22年度,29570,102373,31413,62085,86305,268108,749045,4053461,3264564,1931330,1101244,721562,1250062,13621552
9,総合計,平成23年度,30647,142876,42540,125137,104195,300839,628456,4132425,3367836,2189228,1080891,577860,1330229,14022512
10,合計,平成19年度,28052,80303,25152,61123,226739,176654,638854,3439875,3005786,1843346,1108442,580954,1265086,12452314
11,合計,平成20年度,28244,177119,94371,127615,229532,619598,1176118,4242517,2625012,1358748,718022,398144,843157,12609953
12,合計,平成21年度,27871,282666,81065,145362,214256,537587,971785,4118221,2647882,1484709,854367,495414,781479,12614793
13,合計,平成22年度,28332,99108,30455,59860,82056,255960,690424,3897720,3134460,1825696,1074566,681031,1145831,12977167
14,合計,平成23年度,29376,139731,41838,123742,100602,292390,578475,3979900,3221993,2111796,1036914,549948,1219015,13396344
15,　鉱業、採石業、砂利採取業,平成19年度,36,-,-,-,70,60,147,590,1029,234,52,354,2245,4781
16,　鉱業、採石業、砂利採取業,平成20年度,37,89,-,-,50,217,324,722,722,62,364,154,3432,6136
17,　鉱業、採石業、砂利採取業,平成21年度,36,-,-,-,-,93,142,1331,285,223,-,364,3658,6096
18,　鉱業、採石業、砂利採取業,平成22年度,37,-,-,-,58,147,73,923,502,117,1461,58,3284,6623
19,　鉱業、採石業、砂利採取業,平成23年度,41,-,-,-,72,172,121,1052,657,184,162,359,4806,7585
20,　製造業,平成19年度,13354,42605,12767,34153,41053,79491,266084,1057226,1166314,831473,608982,329420,823388,5292956
21,　製造業,平成20年度,13394,137613,74591,98161,180196,404875,555112,1534294,893051,487593,326210,179632,454710,5326038
22,　製造業,平成21年度,13105,225244,55246,105587,139299,327854,434436,1323488,1026975,574369,363863,216990,401793,5195144
23,　製造業,平成22年度,13104,56703,16417,32251,50309,138334,293732,1123143,1277577,796043,548295,265390,645263,5243457
24,　製造業,平成23年度,13345,54170,28040,48943,69534,185503,281352,1358403,1064774,825078,498555,218949,627698,5260999
25,　　090　食料品製造業,平成23年度,1543,3844,741,2390,4007,14875,31753,207167,169998,75276,33219,20136,20414,583820
26,　　100　飲料・たばこ・飼料製造業,平成23年度,204,153,128,-,493,624,2416,19370,21499,11655,1887,5817,19716,83758
27,　　110　繊維工業,平成23年度,508,1816,448,1512,1392,3286,6070,27084,19912,23051,4863,2566,5927,97927
28,　　120　木材・木製品製造業（家具を除く）,平成23年度,140,147,-,-,133,93,1786,12550,3939,5145,1749,514,1099,27155
29,　　130　家具・装備品製造業,平成23年度,129,997,439,59,170,1281,2391,12473,7733,1766,728,1165,2302,31504
30,　　140　パルプ・紙・紙加工品製造業,平成23年度,407,-,55,475,708,1048,3979,32814,26920,23853,8746,2242,2479,103319
31,　　150　印刷・同関連業,平成23年度,603,1449,1854,1822,1335,3749,7786,67368,25814,19040,9011,3125,4067,146420
32,　　160　化学工業,平成23年度,931,1689,1218,1128,1916,3438,5048,61973,58476,66997,55555,36454,190433,484325
33,　　170　石油製品・石炭製品製造業,平成23年度,57,-,-,-,-,-,882,5968,8941,2014,4980,695,513,23993
34,　　180　プラスチック製品製造業,平成23年度,795,2077,328,1149,3419,3306,10038,45648,40591,42462,19569,8789,14699,192075
35,　　190　ゴム製品製造業,平成23年度,151,69,-,-,265,1120,2514,10983,15463,13325,22163,2888,2710,71500
36,　　200　なめし革・同製品・毛皮製造業,平成23年度,25,63,-,156,91,97,-,775,808,759,452,79,401,3681
