,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
6,総合計,平成14年度,27545,102662,32406,53906,120923,207224,497691,3951310,2486434,1267832,863389,408822,864619,10857218
7,総合計,平成15年度,26634,51998,26143,45916,71996,178830,366181,3855748,2540877,1338840,947650,510613,957321,10892113
8,総合計,平成16年度,28340,63821,29638,58581,62510,142078,464323,3909505,2443419,1606264,1001892,754916,1198374,11735321
9,総合計,平成17年度,27677,62236,25045,51396,57880,204194,504735,3374269,2640386,1627738,948779,784312,1392178,11673148
10,総合計,平成18年度,27917,69665,22264,46910,91308,148044,589716,3475659,2855423,1740542,1133020,664344,1565211,12402106
11,合計,平成14年度,26196,100328,32114,50068,116929,202571,475475,3809435,2371991,1207793,806511,379034,785149,10337398
12,合計,平成15年度,25368,47609,25607,44087,68909,170609,348556,3714199,2440562,1268438,902296,486527,884975,10402374
13,合計,平成16年度,26813,49509,27725,54191,60364,130837,441214,3757483,2301566,1521650,940481,694603,1080883,11060506
14,合計,平成17年度,26114,54523,23298,43527,54225,192274,475323,3203997,2403504,1558208,873454,720984,1263437,10866754
15,合計,平成18年度,26605,60857,18172,32640,70150,138372,556971,3286913,2732160,1670199,1071196,644516,1380508,11662654
16,　鉱業,平成14年度,48,321,-,-,-,54,252,1826,662,313,118,360,3355,7261
17,　鉱業,平成15年度,43,158,-,-,-,-,134,1947,1054,398,73,172,3705,7641
18,　鉱業,平成16年度,38,77,63,71,77,-,-,570,1631,135,470,93,3293,6480
19,　鉱業,平成17年度,37,57,-,136,-,82,68,425,641,275,404,-,3626,5714
20,　鉱業,平成18年度,38,50,-,127,-,74,-,781,549,238,382,90,3793,6084
21,　製造業,平成14年度,12946,53476,20509,37557,72619,107122,236259,1451254,1116642,668541,363945,202495,492638,4823057
22,　製造業,平成15年度,12450,31568,16958,24530,44579,101260,141107,1329695,1185293,685584,493210,227173,565636,4846593
23,　製造業,平成16年度,13235,26357,17971,29941,25484,61169,192425,1211863,1118781,753612,571112,419259,658338,5086312
24,　製造業,平成17年度,12990,30533,12170,32283,28482,116493,171744,1053035,1016753,774116,480573,407231,864287,4987700
25,　製造業,平成18年度,12777,28866,9781,16205,40520,65495,276709,924093,1059361,851281,500119,367795,909840,5050065
26,　　090　食料品製造業,平成18年度,1409,5002,823,1650,4137,10514,29438,168237,161412,82553,14709,15890,10098,504463
27,　　100　飲料・たばこ・飼料製造業,平成18年度,201,247,432,330,263,905,2853,20109,11830,12813,12134,17896,2680,82492
28,　　110　繊維工業,平成18年度,267,1525,710,788,641,1782,4119,7961,9904,7052,6996,2120,4192,47790
29,　　120　衣服・その他の繊維製品製造業,平成18年度,246,304,339,393,1238,1440,2759,16584,9668,7464,1238,864,3176,45467
30,　　130　木材・木製品製造業（家具を除く）,平成18年度,139,70,-,232,228,546,2590,11965,6809,1952,1070,140,994,26596
31,　　140　家具・装備品製造業,平成18年度,129,323,556,50,455,1314,1354,11855,7501,4191,1505,1655,561,31320
32,　　150　パルプ・紙・紙加工品製造業,平成18年度,384,498,1046,921,1479,2714,5781,30103,22010,22941,8576,3330,3498,102897
33,　　160　印刷・同関連業,平成18年度,597,228,110,149,271,1998,4876,41566,23043,42515,13593,2283,8994,139626
34,　　170　化学工業,平成18年度,911,1682,443,959,1353,2084,6602,32615,43827,57561,67848,56177,187309,458460
35,　　180　石油製品・石炭製品製造業,平成18年度,47,-,-,-,-,528,596,14512,8034,621,650,1322,171,26434
36,　　190　プラスチック製品製造業,平成18年度,701,437,457,188,806,4065,7513,41141,31041,25318,14615,9905,28620,164106
37,　　200　ゴム製品製造業,平成18年度,142,-,-,201,256,406,1494,5827,19491,5115,9145,4837,21612,68384
38,　　210　なめし革・同製品・毛皮製造業,平成18年度,32,-,-,-,244,77,312,1442,1287,779,110,58,-,4309
39,　　220　窯業・土石製品製造業,平成18年度,464,1210,345,635,2385,2790,8062,19373,12773,12550,9514,12998,17982,100617
40,　　230　鉄鋼業,平成18年度,424,1150,162,68,444,421,250,17825,15516,16043,18448,11061,86381,167769
41,　　240　非鉄金属製造業,平成18年度,333,173,-,-,452,556,1180,18962,28689,39888,10207,11088,10254,121449
42,　　250　金属製品製造業,平成18年度,947,3193,124,469,2795,1760,7408,54979,42620,41782,23571,15647,30556,224904
43,　　260　一般機械器具製造業,平成18年度,1610,1226,566,2140,4123,3770,5879,69573,113173,56759,52531,50798,183839,544377
44,　　270　電気機械器具製造業,平成18年度,891,1732,1595,820,2360,8867,8170,57844,58859,98411,38969,33531,53412,364570
45,　　280　情報通信機械器具製造業,平成18年度,353,906,578,976,9529,8750,79911,62688,136214,44523,25087,5418,7788,382368
46,　　290　電子部品・デバイス製造業,平成18年度,693,4995,492,1883,1100,5174,29026,58845,44765,45784,28557,19301,80780,320702
47,　　300　輸送用機械器具製造業,平成18年度,1178,410,262,1042,5394,3718,57114,132102,212617,196199,101665,79919,111989,902431
48,　　310　精密機械器具製造業,平成18年度,350,1519,313,825,261,729,4864,12685,18011,13631,17581,7401,35117,112937
49,　　320　その他の製造業,平成18年度,329,2036,428,1486,306,587,4558,15300,20267,14836,21800,4156,19837,105597
50,　電気・ガス業,平成14年度,103,211,120,-,169,619,253,3263,4035,48221,124704,2256,1884,185735
51,　電気・ガス業,平成15年度,105,54,-,-,617,231,555,3993,3110,5251,100458,52749,14891,181909
52,　電気・ガス業,平成16年度,109,-,-,-,913,208,702,3928,5479,16636,41130,47372,61137,177505
53,　電気・ガス業,平成17年度,104,465,65,65,78,157,1930,4653,15557,9063,70870,62034,8281,173218
54,　電気・ガス業,平成18年度,108,152,-,60,194,456,1207,5552,5897,30460,111928,581,17427,173914
55,　　331　電気業,平成18年度,29,-,-,-,-,74,-,3630,53,23681,103005,-,6714,137157
56,　　341　ガス業,平成18年度,79,152,-,60,194,382,1207,1922,5844,6779,8923,581,10713,36757
57,　卸売・小売業,平成14年度,9513,7748,4243,4916,26579,60738,163513,1885740,907894,268055,132708,81475,119103,3662712
58,　卸売・小売業,平成15年度,9120,3980,4486,6526,14720,43094,153479,1885618,866478,256727,142606,112555,126807,3617076
59,　卸売・小売業,平成16年度,9545,9286,3949,14658,14640,49819,182237,2025328,797845,351942,168475,129696,150709,3898584
60,　卸売・小売業,平成17年度,9285,10605,5444,6489,9907,44915,245393,1691346,953841,408781,167752,90474,203849,3838796
61,　卸売・小売業,平成18年度,9070,9963,3303,10630,16387,46028,198038,1760292,1114639,351455,196676,110408,167145,3984964
62,　卸売業,平成14年度,6022,3019,1961,3376,14724,27563,74540,862748,270010,98605,42002,35782,44828,1479158
63,　卸売業,平成15年度,5767,2051,2509,4549,5803,18718,61936,788656,281421,86793,51285,21108,64793,1389622
64,　卸売業,平成16年度,5948,5924,2096,12209,5378,18556,50585,737685,309737,136322,57174,40060,55047,1430773
65,　卸売業,平成17年度,5747,4973,794,2030,3640,10844,60732,644654,339858,165306,73045,31476,68096,1405448
66,　卸売業,平成18年度,5629,4511,2257,3634,4584,14176,54545,659746,363398,108922,56997,41627,71553,1385950
67,　　501　繊維品卸売業,平成18年度,88,-,205,-,480,270,234,7197,4793,1124,1544,67,235,16149
68,　　502　衣服・身の回り品卸売業,平成18年度,340,487,296,1891,227,3615,3543,33098,17454,13414,4035,9620,9156,96836
69,　　511　農畜産物・水産物卸売業,平成18年度,466,-,58,209,158,1269,4167,61535,10042,1228,80,-,154,78900
70,　　512　食料・飲料卸売業,平成18年度,542,1217,105,223,56,1113,9987,98449,24418,7477,1091,11642,4429,160207
71,　　521　建築材料卸売業,平成18年度,443,-,-,-,442,66,1666,37442,21024,6654,1229,109,1487,70119
72,　　522　化学製品卸売業,平成18年度,346,235,-,-,-,-,691,29731,20031,5020,3068,3729,1279,63784
73,　　523　鉱物・金属材料卸売業,平成18年度,507,-,-,-,123,141,1412,85159,28649,4120,3428,956,3741,127729
74,　　524　再生資源卸売業,平成18年度,55,-,-,-,-,-,196,2114,1696,1888,1164,712,531,8301
75,　　531　一般機械器具卸売業,平成18年度,493,674,-,149,-,977,4620,34145,45024,10489,12133,1313,3963,113487
76,　　532　自動車卸売業,平成18年度,344,230,186,95,1076,663,2208,37803,22964,6010,2788,1707,209,75939
77,　　533　電気機械器具卸売業,平成18年度,603,-,91,52,557,2007,2801,66159,92126,27937,5974,2732,23801,224237
78,　　539　その他の機械器具卸売業,平成18年度,308,233,501,410,79,321,1097,18141,16245,5510,7103,1797,6542,57979
79,　　541　家具・建具・じゅう器等卸売業,平成18年度,142,237,223,-,208,1769,2077,9390,4259,1506,2558,995,684,23906
80,　　542　医薬品・化粧品等卸売業,平成18年度,221,911,156,-,754,1014,14159,73070,18595,3435,4099,1550,9956,127699
81,　　549　その他の卸売業,平成18年度,731,287,436,605,424,951,5687,66313,36078,13110,6703,4698,5386,140678
82,　小売業,平成14年度,3491,4729,2282,1540,11855,33175,88973,1022992,637884,169450,90706,45693,74275,2183554
83,　小売業,平成15年度,3353,1929,1977,1977,8917,24376,91543,1096962,585057,169934,91321,91447,62014,2227454
84,　小売業,平成16年度,3597,3362,1853,2449,9262,31263,131652,1287643,488108,215620,111301,89636,95662,2467811
85,　小売業,平成17年度,3538,5632,4650,4459,6267,34071,184661,1046692,613983,243475,94707,58998,135753,2433348
86,　小売業,平成18年度,3441,5452,1046,6996,11803,31852,143493,1100546,751241,242533,139679,68781,95592,2599014
87,　　560　織物・衣服・身の回り品小売業,平成18年度,394,1464,94,801,3232,4703,13802,78078,75901,60994,31899,24253,45872,341093
88,　　570　飲食料品小売業,平成18年度,896,1186,294,4730,4245,12257,75581,565718,474804,53501,50067,10932,18685,1272000
89,　　580　自動車・自転車小売業,平成18年度,812,766,133,51,972,4103,30205,167328,34587,8079,2272,1252,710,250458
90,　　591　家具・建具・じゅう器小売業,平成18年度,81,394,-,-,187,1625,3397,16800,22330,12033,13889,563,13488,84706
91,　　592　機械器具小売業,平成18年度,191,235,-,809,998,1181,1399,43749,16289,17633,8127,51,1155,91626
92,　　601　医薬品・化粧品小売業,平成18年度,195,150,-,280,386,190,3288,56459,43982,34585,17176,138,2063,158697
93,　　603　燃料小売業,平成18年度,347,137,-,-,-,1513,8468,57768,9408,1055,847,850,276,80322
94,　　609　その他の小売業,平成18年度,525,1120,525,325,1783,6280,7353,114646,73940,54653,15402,30742,13343,320112
95,　飲食店,平成14年度,511,14774,1066,910,8554,19454,35821,251429,141135,57144,78070,14694,44066,667117
96,　飲食店,平成15年度,496,459,206,1907,3499,11305,29548,257178,164825,117407,27548,17611,32774,664267
97,　飲食店,平成16年度,551,2680,1834,1395,2994,9332,38396,279218,158841,178980,33669,5431,26063,738833
98,　飲食店,平成17年度,498,2127,1216,1357,7035,20099,27617,240695,192785,138552,22302,15173,20714,689672
99,　飲食店,平成18年度,514,4399,868,1750,1853,6835,40159,289410,175281,92596,45608,17495,25869,702123
100,　クレジットカード業・割賦金融業,平成14年度,75,1493,715,-,-,-,254,5088,1565,8660,7396,11816,13232,50219
101,　クレジットカード業・割賦金融業,平成15年度,72,80,-,-,-,1450,-,3336,7230,6947,4279,1666,25363,50351
102,　クレジットカード業・割賦金融業,平成16年度,70,54,-,-,250,-,209,181,5248,9388,537,1580,27818,45265
103,　クレジットカード業・割賦金融業,平成17年度,74,500,-,-,-,201,88,230,3660,1255,1158,3926,39882,50900
104,　クレジットカード業・割賦金融業,平成18年度,71,4310,-,75,75,-,51,2210,5604,13368,1119,8382,17160,52354
105,　情報サービス・情報制作業,平成14年度,1743,5147,2552,3688,3820,7826,14002,111031,132879,124333,62426,48924,91423,608051
106,　情報サービス・情報制作業,平成15年度,1732,3431,1098,1009,2931,5513,13842,124555,120976,145104,75461,54395,81710,630025
107,　情報サービス・情報制作業,平成16年度,1943,4080,2167,3766,8801,4940,19626,134319,123825,141858,91126,64466,115547,714521
108,　情報サービス・情報制作業,平成17年度,1866,4813,3110,1665,3458,4083,15502,140315,126805,169746,89915,105270,77088,741770
109,　情報サービス・情報制作業,平成18年度,1860,5417,1916,1575,5173,7939,13576,86688,132978,135285,110350,87604,108309,696810
110,　　情報サービス業,平成14年度,1451,4452,2072,2787,2743,6477,11702,89102,110090,104509,55715,41730,81812,513191
111,　　情報サービス業,平成15年度,1440,2991,382,603,2167,4064,11215,104495,100499,126400,65589,46091,71504,536000
112,　　情報サービス業,平成16年度,1618,3445,1925,2928,8647,3939,15762,111394,110832,115763,81081,54485,106062,616263
113,　　情報サービス業,平成17年度,1562,3790,3032,1118,3037,3549,13713,124786,104704,153955,77643,98076,57238,644641
114,　　情報サービス業,平成18年度,1582,5119,1726,1213,3614,6814,10936,73413,114625,112313,103575,82182,88506,604036
115,　　410　情報制作業,平成18年度,278,298,190,362,1559,1125,2640,13275,18353,22972,6775,5422,19803,92774
116,　個人教授所,平成14年度,41,-,-,-,-,-,2692,5773,4784,978,4166,1186,2240,21819
117,　個人教授所,平成15年度,41,-,151,-,-,-,1970,3290,4660,6059,20503,1235,2279,40147
118,　個人教授所,平成16年度,43,333,-,1744,-,-,169,5657,2983,19032,2823,4221,4513,41475
119,　個人教授所,平成17年度,39,-,-,-,773,2840,334,1231,16992,1660,6293,6381,1954,38458
120,　個人教授所,平成18年度,27,-,-,-,-,2903,1187,3007,1059,4094,23597,1308,1047,38202
121,　サービス業,平成14年度,1740,18038,3023,3283,7836,7952,26226,156107,113671,55021,70099,30637,68252,560145
122,　サービス業,平成15年度,1772,10174,2969,11046,2958,10201,15189,165341,126250,71997,56473,35730,72445,580773
123,　サービス業,平成16年度,1923,9431,1855,3386,7963,7039,12813,171948,164711,86254,53382,56629,102068,677479
124,　サービス業,平成17年度,1934,6492,1863,6969,5574,6569,18118,159128,229402,84975,65573,67709,116026,768398
125,　サービス業,平成18年度,2547,8378,2824,6899,6776,9997,31136,259182,263064,214816,100863,61753,180831,1146519
126,　サービス業(その他のサービス業を除く),平成14年度,1216,17158,2909,2997,5188,6758,22429,94031,62395,31548,32978,15828,17208,311427
127,　サービス業(その他のサービス業を除く),平成15年度,1309,7879,2708,10115,2563,7756,7921,104587,86936,44961,38158,18971,31810,364365
128,　サービス業(その他のサービス業を除く),平成16年度,1279,6642,1741,2616,7205,5369,7450,96419,86933,50067,31139,22485,33465,351531
129,　サービス業(その他のサービス業を除く),平成17年度,1221,5423,1293,1532,4492,3404,12647,72067,76470,54760,34187,30495,43756,340526
130,　サービス業(その他のサービス業を除く),平成18年度,2140,7700,2304,2218,5948,8642,26044,214880,236792,191422,81417,50853,129918,958138
131,　　800　専門サービス業,平成18年度,161,143,65,63,338,179,593,6178,22554,15486,10059,4975,7411,68044
132,　　810　学術・開発研究機関,平成18年度,44,123,131,-,-,186,67,1414,2787,4784,459,1111,3011,14073
133,　　820　洗濯・理容・美容・浴場業,平成18年度,144,126,256,-,83,257,1703,15215,9432,5445,9114,1264,3660,46555
134,　　830　その他の生活関連サービス業,平成18年度,120,65,334,133,219,667,541,4185,6248,4243,3219,1800,19627,41281
135,　　840　娯楽業,平成18年度,348,4234,1193,1843,1393,2347,2216,9944,3858,7407,10093,10492,7593,62613
136,　　850　廃棄物処理業,平成18年度,111,422,57,55,-,194,63,2080,2120,3134,2871,1676,5193,17865
137,　　870　機械等修理業,平成18年度,196,-,189,-,376,336,1255,18390,22435,13382,11516,5021,6819,79719
138,　　880　物品賃貸業（レンタル業を除く）,平成18年度,227,81,-,-,68,227,2851,8420,20302,12781,8492,2628,13156,69006
139,　　890　広告業,平成18年度,196,287,-,53,341,421,2269,17173,12630,3678,2203,1307,4446,44808
140,　　900　その他の事業サービス業,平成18年度,593,2219,79,71,3130,3828,14486,131881,134426,121082,23391,20579,59002,514174
141,　サービス業(その他のサービス業),平成14年度,524,880,114,286,2648,1194,3797,62076,51276,23473,37121,14809,51044,248718
142,　サービス業(その他のサービス業),平成15年度,463,2295,261,931,395,2445,7268,60754,39314,27036,18315,16759,40635,216408
143,　サービス業(その他のサービス業),平成16年度,644,2789,114,770,758,1670,5363,75529,77778,36187,22243,34144,68603,325948
144,　サービス業(その他のサービス業),平成17年度,713,1069,570,5437,1082,3165,5471,87061,152932,30215,31386,37214,72270,427872
145,　サービス業(その他のサービス業),平成18年度,407,678,520,4681,828,1355,5092,44302,26272,23394,19446,10900,50913,188381
146,その他の産業,平成14年度,825,1454,178,3552,1346,3459,18419,79799,63167,36566,19757,14979,28426,271102
147,その他の産業,平成15年度,803,2094,275,898,2692,5776,10357,80795,61001,43366,27039,7327,31711,273331
148,その他の産業,平成16年度,883,11523,1799,3620,1388,9571,17746,76493,64075,48427,39168,26169,48888,348867
149,その他の産業,平成17年度,850,6644,1177,2432,2573,8755,23941,83211,83950,39315,43939,26114,56471,378522
150,その他の産業,平成18年度,905,8130,3572,9589,20330,8317,27653,144444,96991,46949,42378,8928,133790,551071
