,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
7,総合計,平成24年度,30584,162261,26819,88618,134539,211710,668463,3924939,3500999,2246503,1155821,888149,1441554,14450375
8,総合計,平成25年度,30217,94312,45074,27103,115627,202890,544908,4069542,3304549,2328371,1293700,881750,1745389,14653215
9,総合計,平成26年度,30180,60171,30073,43483,123845,239331,550524,3967766,3281353,2257552,1334535,939129,1935131,14762893
10,総合計,平成27年度,30231,76216,41664,64067,81521,193552,612730,3804993,3314852,2644163,1432669,940394,2014781,15221602
11,総合計,平成28年度,30151,83650,27321,44985,60609,165550,424227,3754856,3454044,2668775,1469932,897393,2088641,15139983
12,合計,平成24年度,29148,159138,25828,87538,129594,206034,626748,3772360,3328965,2150279,1107232,846970,1326127,13766813
13,合計,平成25年度,28788,92675,43279,25820,112624,198469,516129,3940451,3140051,2201439,1251270,824509,1629123,13975839
14,合計,平成26年度,28758,58488,29036,42330,120182,235698,520855,3808799,3134414,2140138,1260611,910225,1797014,14057790
15,合計,平成27年度,28759,74716,40993,63564,74759,186086,600063,3648219,3171959,2511367,1359595,899655,1840078,14471054
16,合計,平成28年度,28715,80459,24777,43700,59756,158843,417315,3611900,3306542,2531022,1353960,865287,1923232,14376793
17,　鉱業、採石業、砂利採取業,平成24年度,39,70,-,-,55,327,-,412,885,310,130,210,5069,7468
18,　鉱業、採石業、砂利採取業,平成25年度,38,-,-,-,-,53,144,755,531,262,-,432,4222,6399
19,　鉱業、採石業、砂利採取業,平成26年度,39,-,-,-,-,-,-,858,550,674,341,-,4139,6562
20,　鉱業、採石業、砂利採取業,平成27年度,36,-,844,54,-,59,-,582,320,737,53,68,3864,6581
21,　鉱業、採石業、砂利採取業,平成28年度,35,1062,-,-,308,59,259,307,274,584,360,258,3102,6573
22,　製造業,平成24年度,13203,89055,17344,33720,96894,101033,272854,993311,1227883,879602,448673,450600,684322,5295291
23,　製造業,平成25年度,13053,56525,21524,16186,42814,76050,190034,939198,1051338,844327,665144,378675,997545,5279360
24,　製造業,平成26年度,12931,31095,18847,14478,46830,89747,178639,892812,886398,882429,588635,477848,1082517,5190275
25,　製造業,平成27年度,12891,42898,27128,29099,41629,115673,248839,940344,900119,812694,608456,451168,1062102,5280149
26,　製造業,平成28年度,12870,43042,10374,16475,32082,60986,167276,820875,1044391,880688,635635,412780,1140967,5265571
27,　　090　食料品製造業,平成28年度,1502,737,1068,2989,4915,8755,22193,165626,158840,110278,59548,32408,49185,616542
28,　　100　飲料・たばこ・飼料製造業,平成28年度,187,88,81,-,229,621,938,11100,16220,16594,9460,1790,18786,75907
29,　　110　繊維工業,平成28年度,443,920,133,565,744,1296,5237,18161,15759,14345,7042,5033,22734,91969
30,　　120　木材・木製品製造業（家具を除く）,平成28年度,149,71,-,-,-,792,2129,5566,7715,4556,4553,1209,1921,28512
31,　　130　家具・装備品製造業,平成28年度,123,303,114,57,-,858,506,7405,6929,6805,2540,1052,4936,31505
32,　　140　パルプ・紙・紙加工品製造業,平成28年度,399,303,-,452,614,354,2814,30395,31078,14010,10595,6809,7208,104632
33,　　150　印刷・同関連業,平成28年度,569,782,539,393,1113,1962,4571,41501,51579,25942,7478,5541,5619,147020
34,　　160　化学工業,平成28年度,928,4085,51,545,2021,4645,7495,25891,40322,40350,76230,48959,233621,484215
