,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
8,総合計,平成11年度,25841,64633,35243,73366,108858,307911,597075,3984345,2197114,988160,660958,442856,655426,10115945
9,総合計,平成12年度,27655,78518,27917,42349,112793,228231,576467,3651402,2323073,1432281,1008157,564046,889867,10935101
10,総合計,平成13年度,28151,146200,83981,121852,219811,413503,660192,3881194,2117453,1203016,872723,447124,748490,10915539
11,総合計,平成14年度,27545,102662,32406,53906,120923,207224,497691,3951310,2486434,1267832,863389,408822,864619,10857218
12,総合計,平成15年度,26634,51998,26143,45916,71996,178830,366181,3855748,2540877,1338840,947650,510613,957321,10892113
14,合計,平成11年度,25027,63519,32867,71337,106359,303332,587604,3900791,2115803,931344,622787,426311,627935,9789989
15,合計,平成12年度,26695,74365,24022,41682,111535,225357,565023,3552608,2221571,1380825,928361,551050,843172,10519571
16,合計,平成13年度,26877,140478,82284,120047,218395,406851,645075,3734886,2001052,1149832,846224,417994,683860,10446978
17,合計,平成14年度,26196,100328,32114,50068,116929,202571,475475,3809435,2371991,1207793,806511,379034,785149,10337398
18,合計,平成15年度,25368,47609,25607,44087,68909,170609,348556,3714199,2440562,1268438,902296,486527,884975,10402374
20,　鉱業,平成11年度,62,786,-,-,-,59,376,2671,1850,725,1287,567,2549,10870
21,　鉱業,平成12年度,64,1997,-,50,-,330,237,2567,794,767,380,-,3082,10204
22,　鉱業,平成13年度,58,170,-,72,236,76,482,2215,683,381,73,-,3468,7856
23,　鉱業,平成14年度,48,321,-,-,-,54,252,1826,662,313,118,360,3355,7261
24,　鉱業,平成15年度,43,158,-,-,-,-,134,1947,1054,398,73,172,3705,7641
26,　製造業,平成11年度,13629,46703,22013,55621,74126,219946,303957,1759987,1183645,605546,478407,203966,447577,5401494
27,　製造業,平成12年度,13265,36309,15023,22030,69232,118455,214864,1424607,1138088,854531,539765,247699,558121,5238724
28,　製造業,平成13年度,13247,99608,66900,97816,173142,306924,322350,1471335,916641,570941,362454,223496,426311,5037918
29,　製造業,平成14年度,12946,53476,20509,37557,72619,107122,236259,1451254,1116642,668541,363945,202495,492638,4823057
30,　製造業,平成15年度,12450,31568,16958,24530,44579,101260,141107,1329695,1185293,685584,493210,227173,565636,4846593
32,　　090 食料品製造業,平成15年度,1346,895,1241,4455,5697,10653,31237,153620,164442,49590,20282,17027,12617,471756
34,　　100 飲料・たばこ・飼料製造業,平成15年度,209,59,262,399,232,354,2134,23862,21519,33722,16019,3711,4501,106774
36,　　110 繊維工業,平成15年度,281,1327,1072,815,362,1669,1046,12688,14667,10925,1950,2872,2803,52196
38,　　120 衣服・その他の繊維製品製造業,平成15年度,274,1485,2343,845,868,1811,4120,15638,9569,8733,5206,1405,1938,53961
40,　　130 木材・木製品製造業（家具を除く）,平成15年度,133,169,-,-,333,462,387,10114,6392,4746,509,936,198,24246
42,　　140 家具・装備品製造業,平成15年度,155,660,165,1284,1346,435,260,17564,7540,1886,3421,1455,1537,37553
44,　　150 パルプ・紙・紙加工品製造業,平成15年度,405,55,241,726,396,1474,4707,27636,23712,32431,4103,5953,4797,106231
46,　　160 印刷・同関連業,平成15年度,595,358,762,384,1496,2535,3574,34771,37098,32511,8005,8187,6046,135727
48,　　170 化学工業,平成15年度,900,4206,2510,1609,1626,1713,5608,37226,83909,49285,62857,30344,157393,438286
50,　　180 石油製品・石炭製品製造業,平成15年度,47,-,-,-,96,56,2743,16237,2896,1158,798,153,305,24442
52,　　190 プラスチック製品製造業,平成15年度,683,818,590,956,1274,1677,5131,50242,39697,18267,15526,11133,12958,158269
54,　　200 ゴム製品製造業,平成15年度,141,-,-,410,178,283,118,9200,10896,14119,4896,677,15087,55864
56,　　210 なめし革・同製品・毛皮製造業,平成15年度,34,-,-,-,-,-,53,2456,601,52,388,204,700,4454
58,　　220 窯業・土石製品製造業,平成15年度,496,1061,759,1426,1274,2481,4490,35630,23389,15577,9330,4904,14228,114549
60,　　230 鉄鋼業,平成15年度,369,471,82,645,528,1651,1846,30240,34704,8098,32939,10298,29375,150877
62,　　240 非鉄金属製造業,平成15年度,289,2798,64,534,88,1358,11334,43491,22289,11863,10246,1472,2822,108359
64,　　250 金属製品製造業,平成15年度,936,582,902,1003,1397,4268,4548,65670,57703,31772,19758,11709,15753,215065
66,　　260 一般機械器具製造業,平成15年度,1571,2867,926,1264,11211,8654,11207,163465,87231,77294,62314,23010,80647,530090
68,　　270 電気機械器具製造業,平成15年度,846,3139,355,4743,2138,13562,7398,67396,141643,41904,12500,8950,20466,324194
70,　　280 情報通信機械器具製造業,平成15年度,362,1573,313,778,4580,27503,8525,248723,114547,37497,11477,4574,7924,468014
72,　　290 電子部品・デバイス製造業,平成15年度,693,5206,1216,1118,5030,8999,8697,77039,59403,40264,31758,15738,56459,310927
74,　　300 輸送用機械器具製造業,平成15年度,1088,2431,2329,225,2614,8251,15798,154808,191293,128459,142082,44459,87803,780552
76,　　310 精密機械器具製造業,平成15年度,354,423,826,824,616,869,4065,15800,15745,25216,12831,6397,21808,105420
78,　　320 その他の製造業,平成15年度,243,985,-,87,1199,542,2081,16179,14408,10215,4015,11605,7471,68787
80,　卸売・小売業,平成11年度,10390,12571,5410,15222,25815,70413,256358,1940070,787391,220376,90645,59353,125718,3609342
81,　卸売・小売業,平成12年度,9925,8815,4642,15102,28622,87630,290670,1818073,777292,292521,102014,54417,115994,3595792
82,　卸売・小売業,平成13年度,9885,14438,6519,16136,25554,69745,274841,1909949,749155,244293,161963,66062,114442,3653097
83,　卸売・小売業,平成14年度,9513,7748,4243,4916,26579,60738,163513,1885740,907894,268055,132708,81475,119103,3662712
84,　卸売・小売業,平成15年度,9120,3980,4486,6526,14720,43094,153479,1885618,866478,256727,142606,112555,126807,3617076
86,　卸売業,平成11年度,6803,6288,2188,6422,8608,24893,99896,902484,364563,107216,38690,30430,52564,1644242
87,　卸売業,平成12年度,6414,4868,1762,4851,9733,22438,112949,784214,343260,146009,51418,24876,56369,1562747
88,　卸売業,平成13年度,6251,4581,2222,6544,14304,26337,165873,868332,228568,103200,46644,26819,37817,1531241
89,　卸売業,平成14年度,6022,3019,1961,3376,14724,27563,74540,862748,270010,98605,42002,35782,44828,1479158
90,　卸売業,平成15年度,5767,2051,2509,4549,5803,18718,61936,788656,281421,86793,51285,21108,64793,1389622
92,　　501 繊維品卸売業,平成15年度,86,-,-,-,370,55,1118,7467,4387,1557,118,60,-,15132
94,　　502 衣服・身の回り品卸売業,平成15年度,366,868,471,1817,1931,5909,8082,30449,24725,8058,8076,3361,8655,102402
96,　　511 農畜産物・水産物卸売業,平成15年度,476,214,-,-,137,1676,5607,63991,8030,1954,387,-,11975,93971
98,　　512 食料・飲料卸売業,平成15年度,511,80,-,-,802,903,9518,94501,27968,7107,6716,791,4399,152785
100,　　521 建築材料卸売業,平成15年度,469,-,-,204,110,533,3882,45389,13714,2932,1029,238,438,68469
102,　　522 化学製品卸売業,平成15年度,358,141,670,-,-,51,724,33409,10308,5521,6843,1324,1611,60602
104,　　523 鉱物・金属材料卸売業,平成15年度,508,-,-,86,223,202,1906,98719,15679,4140,1178,1019,434,123586
106,　　524 再生資源卸売業,平成15年度,39,-,-,-,-,-,82,2121,795,523,324,901,296,5042
108,　　531 一般機械器具卸売業,平成15年度,560,188,68,363,558,296,5483,64563,23868,15269,5509,1294,2826,120285
