,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
8,総合計,平成10年度,26270,130456,55156,97676,182238,460558,791112,4204288,1741105,941567,615958,366646,518676,10105436
9,総合計,平成11年度,25841,64633,35243,73366,108858,307911,597075,3984345,2197114,988160,660958,442856,655426,10115945
10,総合計,平成12年度,27655,78518,27917,42349,112793,228231,576467,3651402,2323073,1432281,1008157,564046,889867,10935101
11,総合計,平成13年度,28151,146200,83981,121852,219811,413503,660192,3881194,2117453,1203016,872723,447124,748490,10915539
12,総合計,平成14年度,27545,102662,32406,53906,120923,207224,497691,3951310,2486434,1267832,856084,408822,864619,10849913
14,合計,平成10年度,25426,127978,54653,95499,179833,454066,781297,4100425,1676110,890223,590066,353829,485114,9789093
15,合計,平成11年度,25027,63519,32867,71337,106359,303332,587604,3900791,2115803,931344,622787,426311,627935,9789989
16,合計,平成12年度,26695,74365,24022,41682,111535,225357,565023,3552608,2221571,1380825,928361,551050,843172,10519571
17,合計,平成13年度,26877,140478,82284,120047,218395,406851,645075,3734886,2001052,1149832,846224,417994,683860,10446978
18,合計,平成14年度,26196,100328,32114,50068,116929,202571,475475,3809435,2371991,1207793,799206,379034,785149,10330093
20,　鉱業,平成10年度,63,908,-,131,155,111,1494,2895,564,358,579,964,2727,10886
21,　鉱業,平成11年度,62,786,-,-,-,59,376,2671,1850,725,1287,567,2549,10870
22,　鉱業,平成12年度,64,1997,-,50,-,330,237,2567,794,767,380,-,3082,10204
23,　鉱業,平成13年度,58,170,-,72,236,76,482,2215,683,381,73,-,3468,7856
24,　鉱業,平成14年度,48,321,-,-,-,54,252,1826,662,313,118,360,3355,7261
26,　製造業,平成10年度,13855,104532,43164,68658,125638,314425,405182,1989959,909286,568686,369647,232452,358496,5490125
27,　製造業,平成11年度,13629,46703,22013,55621,74126,219946,303957,1759987,1183645,605546,478407,203966,447577,5401494
28,　製造業,平成12年度,13265,36309,15023,22030,69232,118455,214864,1424607,1138088,854531,539765,247699,558121,5238724
29,　製造業,平成13年度,13247,99608,66900,97816,173142,306924,322350,1471335,916641,570941,362454,223496,426311,5037918
30,　製造業,平成14年度,12946,53476,20509,37557,72619,107122,236259,1451254,1116642,668541,363945,202495,492638,4823057
32,　　090 食料品製造業,平成10年度,1461,1958,2194,1450,8304,8213,52802,189951,106945,69246,23944,9932,14480,489419
33,　　090 食料品製造業,平成11年度,1479,898,1447,1143,3902,9495,22475,189271,153280,57123,30639,16088,23465,509226
34,　　090 食料品製造業,平成12年度,1419,11471,521,2224,4511,17699,24611,203880,109093,57925,29858,9074,29266,500133
35,　　090 食料品製造業,平成13年度,1425,1350,8013,1975,7289,22200,31665,230013,76192,65887,22396,17580,21291,505851
36,　　090 食料品製造業,平成14年度,1391,1458,430,3988,6317,8970,30179,214170,108921,61062,17622,15717,13996,482830
38,　　　091 畜産食料品製造業,平成10年度,263,615,-,-,1234,928,7005,51504,23123,5340,1263,3834,316,95162
39,　　　091 畜産食料品製造業,平成11年度,275,207,91,326,596,344,3590,42892,29291,9851,5366,1006,3553,97113
40,　　　091 畜産食料品製造業,平成12年度,257,9295,-,67,503,7696,5138,28761,22970,9576,3078,611,4275,91970
41,　　　091 畜産食料品製造業,平成13年度,270,110,7236,89,1989,12983,11399,35448,9584,5187,371,7198,331,91925
42,　　　091 畜産食料品製造業,平成14年度,257,-,-,3084,191,1605,4116,32395,21409,9639,1550,477,3251,77717
44,　　　092 水産食料品製造業,平成10年度,209,70,115,74,1229,1861,2844,18829,9584,8874,1563,328,398,45769
45,　　　092 水産食料品製造業,平成11年度,211,118,88,209,517,567,3070,19511,10942,7554,1569,559,1112,45816
46,　　　092 水産食料品製造業,平成12年度,212,246,197,157,648,1075,3545,20194,9037,3695,3338,910,645,43687
47,　　　092 水産食料品製造業,平成13年度,210,285,-,-,687,680,1585,21004,10125,5500,2384,931,234,43415
48,　　　092 水産食料品製造業,平成14年度,217,398,128,140,576,1270,3263,19723,7176,5580,2970,485,413,42122
50,　　　093 精穀・製粉業,平成10年度,52,-,-,-,-,-,258,4534,2220,2540,-,-,300,9852
51,　　　093 精穀・製粉業,平成11年度,46,-,-,-,-,-,58,4655,1544,2847,57,-,245,9406
52,　　　093 精穀・製粉業,平成12年度,41,-,57,-,-,-,418,4050,1677,2672,-,57,238,9169
53,　　　093 精穀・製粉業,平成13年度,38,-,-,-,-,53,546,2912,1048,2677,300,-,229,7765
54,　　　093 精穀・製粉業,平成14年度,38,-,-,-,-,-,185,4008,1623,217,265,50,220,6568
56,　　　099 その他の食料品製造業,平成10年度,937,1273,2079,1376,5841,5424,42695,115084,72018,52492,21118,5770,13466,338636
57,　　　099 その他の食料品製造業,平成11年度,947,573,1268,608,2789,8584,15757,122213,111503,36871,23647,14523,18555,356891
58,　　　099 その他の食料品製造業,平成12年度,909,1930,267,2000,3360,8928,15510,150875,75409,41982,23442,7496,24108,355307
59,　　　099 その他の食料品製造業,平成13年度,907,955,777,1886,4613,8484,18135,170649,55435,52523,19341,9451,20497,362746
60,　　　099 その他の食料品製造業,平成14年度,879,1060,302,764,5550,6095,22615,158044,78713,45626,12837,14705,10112,356423
62,　　100 飲料・たばこ・飼料製造業,平成10年度,216,196,73,86,-,393,2902,27014,23678,45066,13997,7559,10230,131194
63,　　100 飲料・たばこ・飼料製造業,平成11年度,217,555,299,189,486,1133,534,19510,20647,47081,14569,4223,14190,123416
64,　　100 飲料・たばこ・飼料製造業,平成12年度,210,272,191,158,276,219,532,30926,35027,16870,16523,7659,5387,114040
65,　　100 飲料・たばこ・飼料製造業,平成13年度,224,140,85,134,1664,687,4409,27025,14118,48217,7749,1614,9042,114884
66,　　100 飲料・たばこ・飼料製造業,平成14年度,220,383,411,116,52,3121,2228,24579,11650,49110,9596,3453,3620,108319
68,　　　101 清涼飲料・酒類・茶・たばこ製造業,平成10年度,174,196,73,86,-,393,2734,21830,21578,44422,13677,7559,10230,122778
69,　　　101 清涼飲料・酒類・茶・たばこ製造業,平成11年度,175,555,299,189,486,1133,534,16692,16572,46211,14117,4223,14051,115062
70,　　　101 清涼飲料・酒類・茶・たばこ製造業,平成12年度,162,272,191,158,276,219,532,26728,32368,15914,16406,7360,5000,105424
71,　　　101 清涼飲料・酒類・茶・たばこ製造業,平成13年度,172,140,85,0,1664,402,3729,21552,12190,47892,7141,1614,8976,105385
72,　　　101 清涼飲料・酒類・茶・たばこ製造業,平成14年度,173,383,411,116,52,3009,2087,19676,9278,48518,9470,3242,3508,99750
74,　　　102 飼料・有機質肥料製造業,平成10年度,42,-,-,-,-,-,168,5184,2100,644,320,-,-,8416
75,　　　102 飼料・有機質肥料製造業,平成11年度,42,-,-,-,-,-,-,2818,4075,870,452,-,139,8354
76,　　　102 飼料・有機質肥料製造業,平成12年度,48,-,-,-,-,-,-,4198,2659,956,117,299,387,8616
77,　　　102 飼料・有機質肥料製造業,平成13年度,52,-,-,134,-,285,680,5473,1928,325,608,-,66,9499
78,　　　102 飼料・有機質肥料製造業,平成14年度,47,-,-,-,-,112,141,4903,2372,592,126,211,112,8569
80,　　110 繊維工業,平成10年度,404,6494,1123,2413,3757,5332,10751,28855,10934,5969,2278,933,1772,80611
81,　　110 繊維工業,平成11年度,375,3312,693,459,2248,6063,3757,23060,19625,6999,3484,3158,2498,75356
82,　　110 繊維工業,平成12年度,333,2860,569,2272,4456,3410,3618,15697,19350,5109,4008,2377,2080,65806
83,　　110 繊維工業,平成13年度,324,2079,1252,1889,2385,2011,5066,17990,18216,2957,1817,2075,2646,60383
84,　　110 繊維工業,平成14年度,301,1344,640,886,1813,2635,2248,16843,17108,6232,2611,2456,3169,57985
86,　　　111 製糸・紡績業,平成10年度,44,2176,-,441,1705,781,1213,1511,1107,158,284,105,-,9481
87,　　　111 製糸・紡績業,平成11年度,45,1152,279,-,668,2923,377,1809,686,518,59,301,148,8920
88,　　　111 製糸・紡績業,平成12年度,41,619,-,134,2816,467,466,1713,546,194,108,420,58,7541
89,　　　111 製糸・紡績業,平成13年度,35,281,517,1314,175,224,460,742,1559,182,573,55,75,6157
90,　　　111 製糸・紡績業,平成14年度,32,96,-,270,462,985,546,1340,853,608,1078,87,-,6325
92,　　　112 織物・ニット生地製造業,平成10年度,116,1853,474,748,313,1263,3679,17375,1851,2076,207,-,484,30323
93,　　　112 織物・ニット生地製造業,平成11年度,104,836,-,388,769,1261,548,9067,10651,2116,906,310,451,27303
94,　　　112 織物・ニット生地製造業,平成12年度,88,1051,194,766,563,2020,862,4515,10815,1109,1371,101,169,23536
95,　　　112 織物・ニット生地製造業,平成13年度,89,773,54,207,1266,718,1485,6030,10568,443,55,-,344,21943
96,　　　112 織物・ニット生地製造業,平成14年度,78,756,586,96,353,463,953,5598,7778,2461,-,1113,489,20646
98,　　　113 染色整理業,平成10年度,121,2114,583,1116,1434,2397,1932,3101,3685,860,705,307,525,18759
99,　　　113 染色整理業,平成11年度,119,1175,414,71,594,1152,2106,6060,2671,1303,1177,561,996,18280
100,　　　113 染色整理業,平成12年度,100,989,239,1235,625,844,1770,4330,3021,720,706,354,252,15085
101,　　　113 染色整理業,平成13年度,90,945,539,100,622,684,1798,4586,1941,1039,484,278,197,13213
102,　　　113 染色整理業,平成14年度,84,392,-,309,908,948,186,4731,2759,1665,111,182,130,12321
104,　　　119 その他の繊維工業,平成10年度,123,351,66,108,305,891,3927,6868,4291,2875,1082,521,763,22048
105,　　　119 その他の繊維工業,平成11年度,107,149,-,-,217,727,726,6124,5617,3062,1342,1986,903,20853
106,　　　119 その他の繊維工業,平成12年度,104,201,136,137,452,79,520,5139,4968,3086,1823,1502,1601,19644
107,　　　119 その他の繊維工業,平成13年度,110,80,142,268,322,385,1323,6632,4148,1293,705,1742,2030,19070
108,　　　119 その他の繊維工業,平成14年度,107,100,54,211,90,239,563,5174,5718,1498,1422,1074,2550,18693
110,　　120 衣服・その他の繊維製品製造業,平成10年度,457,2045,1260,1772,11263,6547,8986,30493,16817,7407,2916,1385,1754,92645
111,　　120 衣服・その他の繊維製品製造業,平成11年度,410,2536,557,1078,3176,4197,6050,25658,15504,6776,4378,845,1774,72529
112,　　120 衣服・その他の繊維製品製造業,平成12年度,355,1209,1312,644,2368,2781,6850,24702,12744,8098,1322,2075,1295,65400
113,　　120 衣服・その他の繊維製品製造業,平成13年度,332,5694,1513,656,1591,2888,3785,24670,12898,3211,1555,958,2216,61635
114,　　120 衣服・その他の繊維製品製造業,平成14年度,310,1304,385,2204,841,4686,4706,15723,17502,4466,1532,984,2484,56817
116,　　　121 織物・ニット製衣服製造業,平成10年度,339,1730,1140,1656,10974,4335,6266,24860,11971,6559,2496,238,1513,73738
117,　　　121 織物・ニット製衣服製造業,平成11年度,311,2467,557,982,2665,3752,3833,18794,14653,4421,4378,706,970,58178
118,　　　121 織物・ニット製衣服製造業,平成12年度,265,1158,1234,292,1635,2715,4473,19287,9475,7173,1154,1454,707,50757
119,　　　121 織物・ニット製衣服製造業,平成13年度,252,5635,1513,546,1591,2126,2933,14965,11487,2686,1079,805,1024,46390
120,　　　121 織物・ニット製衣服製造業,平成14年度,230,1252,193,430,841,4472,2083,11648,15631,3741,903,810,1409,43413
122,　　　122 身の回り品・その他の繊維製品製造業,平成10年度,118,315,120,116,289,2212,2720,5633,4846,848,420,1147,241,18907
123,　　　122 身の回り品・その他の繊維製品製造業,平成11年度,99,69,-,96,511,445,2217,6864,851,2355,0,139,804,14351
