,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
7,総合計,平成23年度,30647,142876,42540,125137,104195,300839,628456,4132425,3367836,2189228,1080891,577860,1330229,14022512
8,総合計,平成24年度,30584,162261,26819,88618,134539,211710,668463,3924939,3500999,2246503,1155821,888149,1441554,14450375
9,総合計,平成25年度,30217,94312,45074,27103,115627,202890,544908,4069542,3304549,2328371,1293700,881750,1745389,14653215
10,総合計,平成26年度,30180,60171,30073,43483,123845,239331,550524,3967766,3281353,2257552,1334535,939129,1935131,14762893
11,総合計,平成27年度,30231,76216,41664,64067,81521,193552,612730,3804993,3314852,2644163,1432669,940394,2014781,15221602
12,合計,平成23年度,29376,139731,41838,123742,100602,292390,578475,3979900,3221993,2111796,1036914,549948,1219015,13396344
13,合計,平成24年度,29148,159138,25828,87538,129594,206034,626748,3772360,3328965,2150279,1107232,846970,1326127,13766813
14,合計,平成25年度,28788,92675,43279,25820,112624,198469,516129,3940451,3140051,2201439,1251270,824509,1629123,13975839
15,合計,平成26年度,28758,58488,29036,42330,120182,235698,520855,3808799,3134414,2140138,1260611,910225,1797014,14057790
16,合計,平成27年度,28759,74716,40993,63564,74759,186086,600063,3648219,3171959,2511367,1359595,899655,1840078,14471054
17,　鉱業、採石業、砂利採取業,平成23年度,41,-,-,-,72,172,121,1052,657,184,162,359,4806,7585
18,　鉱業、採石業、砂利採取業,平成24年度,39,70,-,-,55,327,-,412,885,310,130,210,5069,7468
19,　鉱業、採石業、砂利採取業,平成25年度,38,-,-,-,-,53,144,755,531,262,-,432,4222,6399
20,　鉱業、採石業、砂利採取業,平成26年度,39,-,-,-,-,-,-,858,550,674,341,-,4139,6562
21,　鉱業、採石業、砂利採取業,平成27年度,36,-,844,54,-,59,-,582,320,737,53,68,3864,6581
22,　製造業,平成23年度,13345,54170,28040,48943,69534,185503,281352,1358403,1064774,825078,498555,218949,627698,5260999
23,　製造業,平成24年度,13203,89055,17344,33720,96894,101033,272854,993311,1227883,879602,448673,450600,684322,5295291
24,　製造業,平成25年度,13053,56525,21524,16186,42814,76050,190034,939198,1051338,844327,665144,378675,997545,5279360
25,　製造業,平成26年度,12931,31095,18847,14478,46830,89747,178639,892812,886398,882429,588635,477848,1082517,5190275
26,　製造業,平成27年度,12891,42898,27128,29099,41629,115673,248839,940344,900119,812694,608456,451168,1062102,5280149
27,　　090　食料品製造業,平成27年度,1482,2699,1150,868,2650,12881,24253,197972,160472,81427,49581,39306,37810,611069
28,　　100　飲料・たばこ・飼料製造業,平成27年度,190,269,-,267,454,59,447,22751,23320,4410,7567,909,19244,79697
29,　　110　繊維工業,平成27年度,447,798,368,538,837,1819,3424,24549,13782,14433,5349,3116,23033,92046
30,　　120　木材・木製品製造業（家具を除く）,平成27年度,147,70,103,-,494,1128,1365,9760,7633,3920,2495,986,684,28638
31,　　130　家具・装備品製造業,平成27年度,113,308,183,-,181,73,525,6155,6085,6238,8174,2066,3276,33264
32,　　140　パルプ・紙・紙加工品製造業,平成27年度,391,380,271,170,80,1826,4220,31231,29682,10539,8093,12863,3058,102413
33,　　150　印刷・同関連業,平成27年度,564,409,307,362,1436,2242,10152,41362,51683,19358,6716,4762,6603,145392
34,　　160　化学工業,平成27年度,938,3494,1384,854,2439,1806,12425,38962,39009,47462,62461,52553,213137,475986
35,　　170　石油製品・石炭製品製造業,平成27年度,47,57,170,-,342,3371,9869,1944,1500,553,815,1899,2203,22723
36,　　180　プラスチック製品製造業,平成27年度,776,1721,191,1847,1931,3091,7017,32874,28415,41898,21816,15617,32054,188472
37,　　190　ゴム製品製造業,平成27年度,154,87,-,109,308,167,650,9281,7294,5007,16042,4442,26049,69436
38,　　200　なめし革・同製品・毛皮製造業,平成27年度,21,-,91,-,599,-,412,292,577,149,55,-,463,2638
