,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
5,総合計,平成18年度,27917,69665,22264,46910,91308,148044,589716,3475659,2855423,1740542,1133020,664344,1565211,12402106
6,総合計,平成19年度,29080,92902,27803,63999,241385,181969,676431,3540054,3082134,1887883,1137777,615984,1370260,12918581
7,総合計,平成20年度,29355,185907,99650,130920,232749,679921,1178302,4386270,2715766,1427801,764913,419815,936716,13158730
8,総合計,平成21年度,29096,288759,83483,146949,223976,563116,998141,4285192,2747182,1580174,892968,547283,876566,13233789
9,総合計,平成22年度,29570,102373,31413,62085,86305,268108,749045,4053461,3264564,1931330,1101244,721562,1250062,13621552
10,合計,平成18年度,26605,60857,18172,32640,70150,138372,556971,3286913,2732160,1670199,1071196,644516,1380508,11662654
11,合計,平成19年度,28052,80303,25152,61123,226739,176654,638854,3439875,3005786,1843346,1108442,580954,1265086,12452314
12,合計,平成20年度,28244,177119,94371,127615,229532,653645,1142071,4242517,2625012,1358748,718022,398144,843157,12609953
13,合計,平成21年度,27871,282666,81065,145362,214256,537587,971785,4118221,2647882,1484709,854367,495414,781479,12614793
14,合計,平成22年度,28332,99108,30455,59860,82056,255960,690424,3897720,3134460,1825696,1074566,681031,1145831,12977167
15,　鉱業、採石業、砂利採取業,平成18年度,38,50,-,127,-,74,-,781,549,238,382,90,3793,6084
16,　鉱業、採石業、砂利採取業,平成19年度,36,-,-,-,70,60,147,590,1029,234,52,354,2245,4781
17,　鉱業、採石業、砂利採取業,平成20年度,37,89,-,-,50,217,324,722,722,62,364,154,3432,6136
18,　鉱業、採石業、砂利採取業,平成21年度,36,-,-,-,-,93,142,1331,285,223,-,364,3658,6096
19,　鉱業、採石業、砂利採取業,平成22年度,37,-,-,-,58,147,73,923,502,117,1461,58,3284,6623
20,　製造業,平成18年度,12777,28866,9781,16205,40520,65495,276709,924093,1059361,851281,500119,367795,909840,5050065
21,　製造業,平成19年度,13354,42605,12767,34153,41053,79491,266084,1057226,1166314,831473,608982,329420,823388,5292956
22,　製造業,平成20年度,13394,137613,74591,98161,180196,404875,555112,1534294,893051,487593,326210,179632,454710,5326038
23,　製造業,平成21年度,13105,225244,55246,105587,139299,327854,434436,1323488,1026975,574369,363863,216990,401793,5195144
24,　製造業,平成22年度,13104,56703,16417,32251,50309,138334,293732,1123143,1277577,796043,548295,265390,645263,5243457
25,　　090　食料品製造業,平成22年度,1484,1438,1055,2480,5447,18192,36390,181486,161703,87307,32490,17941,23813,569742
