産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち自社開発
259その他のはん用機械・同部品製造業,99,7090,3079,2407,34,741,413,410,52,1731,891,868
260生産用機械器具製造業,480,36271,20768,19482,173,1612,961,923,210,5878,3919,3824
261金属加工機械製造業,114,6144,3564,3472,36,338,235,229,54,1791,849,841
262特殊産業用機械製造業,366,30127,17204,16010,137,1274,726,694,156,4087,3070,2983
270業務用機械器具製造業,259,126418,33804,30961,102,1450,455,418,164,8820,4716,4336
271事務用・サービス用機械器具製造業,71,92489,17458,15059,23,188,94,94,56,4707,1814,1768
273計量器・測定器等（注）,87,8343,4619,4429,46,342,233,220,49,1162,931,929
274医療用機械器具・医療用品製造業,67,8649,3808,3595,24,876,110,87,41,1775,1146,814
275光学機械器具・レンズ製造業,29,16527,7838,7825,8,,,17,16,,,
276武器製造業,5,410,81,53,1,,,,2,,,
280電子部品・デバイス・電子回路製造業,227,83042,41287,35979,60,235,126,122,108,6341,3034,2975
290電気機械器具製造業,361,82164,34837,33586,118,772,438,408,220,20323,9625,9224
291産業用電気機械器具製造業,162,40728,15713,15418,57,477,262,234,90,10428,4962,4928
292民生用電気機械器具製造業,45,11896,5949,5760,13,63,44,43,39,5122,2344,2237
293電子応用装置製造業,34,5047,1936,1742,9,57,42,42,18,394,277,228
299その他の電気機械器具製造業,120,24493,11239,10666,39,175,90,89,73,4379,2042,1831
300情報通信機械器具製造業,150,322876,87282,82141,47,589,254,249,101,76083,5897,5746
301通信機械器具・同関連機械器具製造業,116,251624,32260,31680,37,555,227,223,77,73261,4057,3945
302電子計算機・同附属装置製造業,34,71252,55022,50461,10,34,27,26,24,2822,1840,1801
310輸送用機械器具製造業,443,135537,44098,35693,159,1454,716,652,205,12902,6585,6161
311自動車・同附属品製造業,360,119273,38358,30045,116,816,425,366,156,9676,4874,4460
319その他の輸送用機械器具製造業,83,16264,5740,5648,43,638,291,286,49,3226,1711,1701
320その他の製造業,173,25753,9854,9739,97,790,499,456,136,9440,6271,6111
電気・ガス業,32,9851,2865,1838,15,34,19,18,17,749,235,166
331電気業,21,5390,1711,818,9,19,12,11,9,215,107,43
341ガス業,11,4461,1154,1020,6,15,7,7,8,534,128,123
情報通信業,282,7502,1950,1752,41,93,73,68,72,849,727,706
391ソフトウェア業,197,4641,1275,1136,22,37,24,20,44,551,484,469
392情報処理・提供サービス業,59,2174,549,505,5,5,,,14,100,85,85
401インターネット附随サービス業,17,649,97,83,1,,,,5,122,89,89
411映画・ビデオ制作業（※）,1,,,,2,,,,2,,,
413新聞業,3,,,,1,,,,2,,,
414出版業,5,24,21,20,10,47,45,44,5,67,64,
卸売業,699,61401,31032,29617,315,2006,1222,1069,514,14483,8918,8343
511繊維品卸売業,8,203,69,67,7,47,27,25,11,92,75,53
512衣服・身の回り品卸売業,30,326,210,181,38,172,131,115,52,539,314,279
521農畜産物・水産物卸売業,19,284,144,117,8,22,22,4,18,88,77,73
522食料・飲料卸売業,32,573,338,324,12,67,39,36,40,568,376,299
531建築材料卸売業,76,5494,3432,3232,35,304,91,74,56,3111,2186,2112
532化学製品卸売業,92,5415,3158,2968,24,204,77,62,32,671,268,264
533石油・鉱物卸売業,22,1291,469,430,8,22,8,4,8,81,58,58
534鉄鋼製品卸売業,29,356,193,153,14,28,23,20,20,115,75,66
535非鉄金属卸売業,16,3493,1994,1971,3,8,2,2,9,119,82,79
536再生資源卸売業,3,3,1,,,,,,1,,,
541産業機械器具卸売業,85,8420,4298,4060,28,177,79,75,50,1280,900,853
542自動車卸売業,14,4793,2349,2090,6,78,69,49,14,829,681,567
543電気機械器具卸売業,67,25979,11349,11189,12,44,17,17,39,3193,948,929
549その他の機械器具卸売業,43,626,454,389,23,198,141,138,18,158,146,111
551家具・建具・じゅう器等卸売業,31,332,208,178,17,96,62,60,31,724,575,558
552医薬品・化粧品等卸売業,27,1162,810,784,7,116,114,105,13,274,267,230
553紙、紙製品卸売業,10,65,57,50,9,35,34,30,11,58,49,40
559その他の卸売業,95,2586,1499,1434,64,388,286,253,91,,,
小売業,93,926,418,368,51,110,89,69,130,1370,1061,902
570織物・衣服・身の回り品小売業,15,125,59,56,13,32,23,17,28,337,239,224
580飲食料品小売業,14,55,48,47,8,11,8,8,35,252,220,134
591自動車・自転車小売業,7,39,30,20,2,,,,4,100,71,66
593機械器具小売業,15,510,124,117,4,4,1,1,6,82,23,9
602家具・建具・じゅう器小売業,4,21,17,17,5,12,12,12,7,196,196,196
603医薬品・化粧品小売業,8,12,11,9,1,,,,7,17,16,16
605燃料小売業,6,41,39,22,1,,,,7,9,9,8
609その他の小売業,20,103,77,67,13,26,20,14,32,338,257,219
610無店舗小売業,4,20,13,13,4,9,9,9,4,39,30,30
クレジットカード業、割賦金融業,4,70,15,15,1,,,,7,52,21,20
物品賃貸業,19,118,90,83,8,38,36,36,8,27,15,15
702産業用機械器具賃貸業（レンタルを含む）,15,114,86,80,6,,,,7,,,
704自動車賃貸業（レンタルを除く）,2,,,,,,,,1,,,
708その他の物品賃貸業（レンタルを含む）,2,,,,2,,,,,,,
学術研究、専門・技術サービス業,118,11214,6273,5940,32,82,57,57,45,396,328,323
710学術・開発研究機関,24,2593,1065,817,5,,6,6,5,23,15,15
726デザイン業,2,,,,1,,,,1,,,
728エンジニアリング業,46,8419,5054,4986,12,34,18,18,20,323,275,273
730広告業,14,72,46,42,9,26,23,23,12,35,31,28
743機械設計業,10,26,17,11,,,,,3,,,
744商品・非破壊検査業,4,11,6,5,,,,,,,,
745計量証明業,16,61,54,50,5,10,10,10,4,4,3,3
746写真業,2,,,,,,,,,,,
飲食サービス業,11,21,16,15,4,6,6,6,32,294,195,62
760一般飲食店,10,,,,4,6,6,6,30,,,
770持ち帰り・配達飲食サービス業,1,,,,,,,,2,,,
生活関連サービス業、娯楽業,15,280,242,239,11,,,,14,111,105,96
781洗濯業,7,218,192,191,4,4,4,3,4,77,75,69
789その他の洗濯・理容・美容業・浴場業,2,,,,1,,,,2,,,
796冠婚葬祭業（冠婚葬祭互助会を含む）,1,,,,3,3,3,3,1,,,
797写真現像・焼付業,2,,,,1,,,,,,,
803ゴルフ場,,,,,,,,,3,5,5,2
804スポーツ施設提供業（注）,1,,,,,,,,2,,,
805公園、遊園地・テーマパーク,2,,,,2,,,,2,,,
サービス業（その他のサービス業を除く）,113,2390,1043,873,26,77,58,48,40,273,138,128
880廃棄物処理業,27,138,105,72,2,,,,2,,,
900機械等修理業,40,1954,678,653,12,42,30,29,19,216,85,81
912労働者派遣業,13,32,26,26,2,,,,6,10,6,4
927ディスプレイ業,2,,,,2,,,,3,10,10,10
928テレマーケティング業,1,,,,,,,,,,,
929その他の事業サービス業,30,259,230,,8,17,10,7,10,,,
サービス業（その他のサービス業）,46,1028,470,448,18,74,37,30,28,194,137,127
その他の産業,131,8627,2125,1943,44,1194,104,97,59,957,251,213
