産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
160化学工業,547,127861,56396,50189,102,945,556,553,191,9371,4499,4247
161化学肥料・無機化学工業製品製造業,61,9172,3179,2866,9,26,14,14,13,171,71,57
162有機化学工業製品製造業,120,81290,38121,33141,17,346,132,131,25,1703,1099,1090
163油脂加工製品等（注）,73,13241,5385,5116,15,97,30,30,21,1657,700,690
164医薬品製造業,120,10676,3230,2924,29,128,57,56,73,1409,662,570
169その他の化学工業製品製造業,173,13482,6481,6142,32,348,323,322,59,4431,1967,1840
170石油製品・石炭製品製造業,25,3121,1391,1347,3,10,7,7,5,35,33,33
171石油精製業,9,2369,896,884,1,,,,3,,,
179その他の石油製品・石炭製品製造業,16,752,495,463,2,,,,2,,,
180プラスチック製品製造業,301,24365,11516,10328,123,1150,871,814,173,13043,8521,8367
190ゴム製品製造業,67,17169,8901,8238,30,196,150,149,40,4311,2467,2453
191タイヤ・チューブ製造業,6,13425,6969,6421,3,14,,,6,3778,2068,2068
199その他のゴム製品製造業,61,3744,1932,1817,27,182,150,149,34,533,399,385
200なめし革・同製品・毛皮製造業,5,75,63,63,4,45,40,40,6,166,137,137
210窯業・土石製品製造業,204,10603,5787,5214,93,1240,1048,1000,116,4169,2660,2526
211ガラス・同製品製造業,34,2047,1188,949,10,22,11,11,17,554,391,378
212セメント・同製品製造業,69,3014,1676,1530,37,703,609,568,55,1970,1297,1204
219その他の窯業・土石製品製造業,101,5542,2923,2735,46,515,428,421,44,1645,972,944
220鉄鋼業,134,31030,16227,12420,39,149,110,73,55,2193,1025,890
221銑鉄・粗鋼・鋼材製造業,74,29456,15499,11735,19,67,37,26,32,1641,777,650
222鋳鍛造品・その他の鉄鋼製品製造業,60,1574,728,685,20,82,73,47,23,552,248,240
230非鉄金属製造業,143,18985,6376,5740,27,91,61,59,50,1911,896,753
231非鉄金属製錬・精製業,30,6407,1650,1338,7,19,14,14,11,563,325,218
232非鉄金属加工品製造業,113,12578,4726,4402,20,72,47,45,39,1348,571,535
240金属製品製造業,452,22535,12765,11735,214,2076,1523,668,284,15638,9251,8857
241建設用・建築用金属製品製造業,139,8541,4893,4523,75,520,331,288,99,8177,5559,5456
249その他の金属製品製造業,313,13994,7872,7212,139,1556,1192,380,185,7461,3692,3401
250はん用機械器具製造業,292,30604,13107,12007,110,1256,737,720,160,4160,2656,2570
251ボイラ・原動機製造業,17,7658,1413,1357,4,6,4,4,10,286,157,147
252ポンプ・圧縮機器製造業,67,6730,3342,3199,29,193,114,108,39,1111,867,841
253一般産業用機械・装置製造業,100,7264,4603,4534,43,305,218,210,56,1019,742,721
259その他のはん用機械・同部品製造業,108,8952,3749,2917,34,752,401,398,55,1744,890,861
260生産用機械器具製造業,527,51926,28394,27097,185,1352,852,825,225,6548,4365,4280
261金属加工機械製造業,137,8572,4581,4440,34,344,223,218,64,2000,884,872
262特殊産業用機械製造業,390,43354,23813,22657,151,1008,629,607,161,4548,3481,3408
270業務用機械器具製造業,272,154854,58372,54522,103,1749,453,437,172,10025,5811,5696
271事務用・サービス用機械器具製造業,68,121226,42110,38445,19,152,70,67,54,6170,2940,2858
273計量器・測定器等（注）,96,18185,9177,9143,50,643,284,273,60,1576,1262,1257
274医療用機械器具・医療用品製造業,71,9382,4447,4324,29,924,88,86,46,1791,1260,1232
275光学機械器具・レンズ製造業,30,5526,2486,2465,4,,11,11,9,474,337,337
276武器製造業,7,535,152,145,1,,,,3,14,12,12
280電子部品・デバイス・電子回路製造業,243,121411,34639,28354,67,451,230,223,116,10327,3148,2805
290電気機械器具製造業,381,217602,31430,30541,124,893,510,448,219,38147,6904,6590
291産業用電気機械器具製造業,178,35033,13797,13611,71,635,345,283,98,5669,2758,2729
292民生用電気機械器具製造業,54,152789,5022,4958,13,80,51,51,40,28349,2019,2005
293電子応用装置製造業,33,3360,1521,1441,6,49,38,38,19,403,271,228
299その他の電気機械器具製造業,116,26420,11090,10531,34,129,76,76,62,3726,1856,1628
300情報通信機械器具製造業,135,173987,68932,67748,38,553,225,221,93,58080,3515,3405
301通信機械器具・同関連機械器具製造業,106,108991,14072,13588,33,481,207,203,73,56046,2037,1972
302電子計算機・同附属装置製造業,29,64996,54860,54160,5,72,18,18,20,2034,1478,1433
310輸送用機械器具製造業,460,157537,59400,48996,146,1220,676,585,221,11970,6191,5730
311自動車・同附属品製造業,360,141616,53413,43064,109,870,465,375,165,9187,4455,3998
319その他の輸送用機械器具製造業,100,15921,5987,5932,37,350,211,210,56,2783,1736,1732
320その他の製造業,193,34811,13577,13499,108,1007,666,639,137,9397,6387,6135
電気・ガス業,37,11737,3361,2187,17,38,23,18,18,723,226,166
331電気業,23,6789,2170,1137,10,24,18,13,10,160,74,24
341ガス業,14,4948,1191,1050,7,14,5,5,8,563,152,142
情報通信業,328,27693,17559,17233,37,88,71,67,80,4677,1116,1096
391ソフトウェア業,220,24432,16583,16318,24,34,21,17,48,4337,857,849
392情報処理・提供サービス業,77,2555,816,768,4,,,,16,76,65,56
401インターネット附随サービス業,18,649,128,115,1,,,,3,12,7,6
411映画・ビデオ制作業（※）,2,,,,1,,,,4,8,4,4
413新聞業,4,,,,,,,,3,203,153,151
414出版業,7,25,13,13,7,44,43,43,6,41,30,30
卸売業,821,100136,25707,20541,341,2049,1210,1085,566,18191,10415,9438
511繊維品卸売業,10,86,20,17,8,51,29,23,12,99,78,53
512衣服・身の回り品卸売業,41,556,291,258,41,143,104,96,63,748,435,354
521農畜産物・水産物卸売業,22,165,131,115,9,36,35,15,21,125,103,75
522食料・飲料卸売業,43,817,426,290,15,63,33,33,44,564,370,285
531建築材料卸売業,84,7068,2851,2783,37,270,89,78,57,3413,1738,1679
532化学製品卸売業,100,2410,1215,1013,21,73,39,33,31,420,338,327
533石油・鉱物卸売業,20,1812,686,667,5,11,7,3,8,73,30,28
534鉄鋼製品卸売業,35,420,263,214,13,54,34,30,20,132,99,92
535非鉄金属卸売業,13,759,677,671,3,,,,3,,,
536再生資源卸売業,7,13,9,7,2,,,,2,,,
541産業機械器具卸売業,89,9730,4948,4685,25,171,88,78,47,1252,955,916
542自動車卸売業,17,5345,2875,2521,8,49,32,32,15,761,568,495
543電気機械器具卸売業,89,46979,2533,2412,19,72,24,24,54,3447,1200,1143
549その他の機械器具卸売業,55,1515,954,901,17,54,35,33,27,186,170,164
551家具・建具・じゅう器等卸売業,38,617,470,195,23,179,104,98,36,1458,1201,881
552医薬品・化粧品等卸売業,31,369,195,145,12,118,112,96,14,191,161,123
553紙、紙製品卸売業,14,48,39,36,10,47,35,33,10,32,30,28
559その他の卸売業,113,21427,7124,3611,73,652,404,374,102,5258,2908,2764
小売業,101,818,465,279,50,125,108,89,133,1094,910,725
570織物・衣服・身の回り品小売業,16,73,64,50,13,20,17,14,28,278,225,214
580飲食料品小売業,10,25,23,17,7,9,7,6,35,192,183,101
591自動車・自転車小売業,9,46,38,32,5,12,12,11,6,128,122,122
593機械器具小売業,13,261,131,14,1,,,,5,18,9,7
602家具・建具・じゅう器小売業,3,5,5,5,3,,,,4,8,8,8
603医薬品・化粧品小売業,8,218,68,66,4,5,5,5,11,67,62,57
605燃料小売業,13,48,30,15,3,14,13,6,8,14,11,9
609その他の小売業,21,111,85,59,10,34,28,21,27,292,220,155
610無店舗小売業,8,31,21,21,4,23,18,18,9,97,70,52
クレジットカード業、割賦金融業,4,76,18,18,,,,,8,,,
物品賃貸業,37,295,216,192,19,63,55,53,19,109,58,55
702産業用機械器具賃貸業（レンタルを含む）,30,269,192,184,16,51,43,43,17,,,
703事務用機械器具賃貸業（レンタルを含む）,,,,,1,,,,1,,,
704自動車賃貸業（レンタルを除く）,2,,,,,,,,1,,,
705スポーツ・娯楽用品賃貸業（レンタルを含む）,1,,,,,,,,,,,
708その他の物品賃貸業（レンタルを含む）,4,19,17,2,2,,,,,,,
学術研究、専門・技術サービス業,142,11460,4088,3293,32,99,73,73,51,293,207,195
710学術・開発研究機関,31,3935,1181,714,5,12,7,7,6,34,24,24
726デザイン業,3,6,2,2,2,,,,3,4,2,2
728エンジニアリング業,59,6304,2718,2404,13,53,40,40,21,180,128,124
730広告業,16,599,73,68,7,23,19,19,12,38,25,17
743機械設計業,12,498,60,53,2,,,,5,15,12,12
744商品・非破壊検査業,9,90,36,35,1,,,,,,,
745計量証明業,12,28,18,17,2,,,,3,,,
746写真業,,,,,,,,,1,,,
飲食サービス業,22,79,62,57,6,,,,36,187,112,90
760一般飲食店,17,73,57,52,5,9,8,8,33,184,110,89
770持ち帰り・配達飲食サービス業,5,6,5,5,1,,,,3,3,2,1
生活関連サービス業、娯楽業,15,150,144,141,9,19,17,17,21,129,127,118
781洗濯業,7,124,119,116,2,,,,5,78,76,72
789その他の洗濯・理容・美容業・浴場業,3,6,5,5,1,,,,5,15,15,13
796冠婚葬祭業（冠婚葬祭互助会を含む）,1,,,,3,3,3,3,3,27,27,27
797写真現像・焼付業,2,,,,1,,,,,,,
803ゴルフ場,,,,,,,,,3,,,
804スポーツ施設提供業（注）,,,,,,,,,1,,,
805公園、遊園地・テーマパーク,2,,,,2,,,,4,4,4,4
サービス業（その他のサービス業を除く）,134,3048,1225,1155,35,114,78,71,43,348,247,235
880廃棄物処理業,27,99,72,56,3,10,9,8,5,22,20,18
900機械等修理業,49,2354,682,657,13,60,40,38,18,218,125,119
912労働者派遣業,13,25,22,20,1,,,,3,6,4,4
927ディスプレイ業,3,,,,2,,,,2,,,
928テレマーケティング業,2,,,,,,,,1,,,
929その他の事業サービス業,40,555,436,416,16,36,26,23,14,91,87,83
サービス業（その他のサービス業）,49,1547,748,721,23,50,43,40,30,284,203,183
その他の産業,145,4929,1847,1647,52,184,122,114,70,443,264,250
