産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
280電子部品・デバイス・電子回路製造業,225,149744,47762,38215,59,318,187,130,117,9360,3367,3121
290電気機械器具製造業,344,218783,37230,36499,133,1642,657,563,221,37869,7654,7540
291産業用電気機械器具製造業,168,42043,14367,14010,74,641,396,303,96,6451,2935,2914
292民生用電気機械器具製造業,46,136449,7044,6985,17,629,107,106,37,26825,2352,2349
293電子応用装置製造業,28,8035,2579,2488,5,62,38,38,21,637,451,401
299その他の電気機械器具製造業,102,32256,13240,13016,37,310,116,116,67,3956,1916,1876
300情報通信機械器具製造業,128,175021,64323,63926,39,613,327,324,87,53493,3636,3593
301通信機械器具・同関連機械器具製造業,98,92042,10306,10200,32,533,304,301,64,51663,2438,2430
302電子計算機・同附属装置製造業,30,82979,54017,53726,7,80,23,23,23,1830,1198,1163
310輸送用機械器具製造業,478,191311,67461,61749,147,2259,699,599,223,12477,7132,6672
311自動車・同附属品製造業,366,170570,60407,54819,106,1196,444,351,160,10003,5789,5338
319その他の輸送用機械器具製造業,112,20741,7054,6930,41,1063,255,248,63,2474,1343,1334
320その他の製造業,173,31791,10317,10178,97,,,,122,8171,4924,4883
電気・ガス業,40,14018,3713,2684,16,37,23,18,18,758,201,163
331電気業,24,8665,2553,1670,9,22,19,14,9,149,55,27
341ガス業,16,5353,1160,1014,7,15,4,4,9,609,146,136
情報通信業,373,34271,23061,22424,52,141,68,64,98,1012,724,700
391ソフトウェア業,262,29679,21629,21298,29,64,24,21,59,775,534,523
392情報処理・提供サービス業,71,2304,731,690,9,15,15,15,13,89,78,77
401インターネット附随サービス業,28,2132,571,407,3,5,5,5,8,48,19,10
411映画・ビデオ制作業（※）,4,126,114,13,3,4,2,1,4,15,12,12
413新聞業,4,5,2,2,,,,,3,7,7,5
414出版業,4,25,14,14,8,53,22,22,11,78,74,73
卸売業,879,87190,27684,25297,396,2550,1459,1336,613,18407,10530,9956
511繊維品卸売業,9,96,70,68,6,27,24,23,7,92,80,57
512衣服・身の回り品卸売業,46,609,343,307,44,157,122,113,65,1481,635,598
521農畜産物・水産物卸売業,24,268,213,199,9,35,31,13,21,107,93,77
522食料・飲料卸売業,44,968,671,653,18,66,34,31,41,533,352,279
531建築材料卸売業,89,5015,1404,1270,42,648,302,292,57,2496,912,872
532化学製品卸売業,97,3907,1866,1711,30,89,60,52,39,747,530,509
533石油・鉱物卸売業,26,3045,827,783,7,32,22,11,10,72,42,42
534鉄鋼製品卸売業,37,411,249,200,12,51,31,28,20,93,67,60
535非鉄金属卸売業,15,1095,516,515,2,,,,3,11,1,1
536再生資源卸売業,7,12,9,8,2,,,,3,5,5,5
541産業機械器具卸売業,101,11080,5416,5190,33,184,85,77,59,1681,1244,1213
542自動車卸売業,16,6542,3135,2726,8,26,23,23,18,936,719,653
543電気機械器具卸売業,87,20858,1644,1486,33,162,89,85,51,2695,716,658
549その他の機械器具卸売業,63,5058,1981,1967,21,71,43,39,32,413,274,263
551家具・建具・じゅう器等卸売業,28,516,417,403,15,108,79,77,26,942,807,793
552医薬品・化粧品等卸売業,38,2539,1509,1453,11,122,114,99,20,482,449,417
553紙、紙製品卸売業,16,57,46,40,11,74,57,55,12,50,39,36
559その他の卸売業,136,25114,7368,6318,92,693,339,314,129,5571,3565,3423
小売業,120,1247,790,699,44,178,111,95,135,1086,829,695
570織物・衣服・身の回り品小売業,17,92,59,57,9,12,9,7,22,270,197,197
580飲食料品小売業,20,112,94,64,9,18,11,9,41,281,256,161
591自動車・自転車小売業,5,8,7,1,2,,,,5,6,6,5
593機械器具小売業,15,358,331,331,1,,,,5,15,5,4
602家具・建具・じゅう器小売業,3,7,7,7,4,6,6,6,5,9,9,5
603医薬品・化粧品小売業,9,406,116,115,4,5,5,5,11,94,58,55
605燃料小売業,10,31,11,6,2,,,,10,19,14,9
609その他の小売業,27,175,128,91,8,39,28,,28,268,219,202
610無店舗小売業,14,58,37,27,5,93,48,43,8,124,65,57
クレジットカード業、割賦金融業,5,77,17,10,,,,,8,38,26,19
物品賃貸業,35,227,152,128,16,43,41,41,16,96,49,45
702産業用機械器具賃貸業（レンタルを含む）,31,223,149,126,13,32,30,30,14,,,
703事務用機械器具賃貸業（レンタルを含む）,,,,,1,,,,1,,,
704自動車賃貸業（レンタルを除く）,2,,,,1,,,,1,,,
708その他の物品賃貸業（レンタルを含む）,2,,,,1,,,,,,,
学術研究、専門・技術サービス業,157,16098,4906,4060,33,116,79,78,58,441,286,264
710学術・開発研究機関,32,6378,1673,879,5,14,7,7,8,63,41,40
726デザイン業,3,,,,2,,,,2,,,
728エンジニアリング業,68,7008,2944,2912,11,67,47,47,29,239,195,178
730広告業,20,1336,88,81,9,25,18,18,13,102,21,18
743機械設計業,10,1172,51,48,1,,,,2,,,
744商品・非破壊検査業,8,87,52,50,1,,,,,,,
745計量証明業,14,68,52,44,4,5,3,2,3,3,2,1
746写真業,2,,,,,,,,1,,,
飲食サービス業,20,74,57,34,3,,,,35,173,108,99
760一般飲食店,17,71,55,32,2,,,,32,170,106,98
770持ち帰り・配達飲食サービス業,3,3,2,2,1,,,,3,3,2,1
生活関連サービス業、娯楽業,19,291,278,261,13,26,21,21,23,125,122,107
781洗濯業,7,155,150,150,3,6,5,5,6,90,87,83
789その他の洗濯・理容・美容業・浴場業,5,,,,2,,,,5,17,17,
796冠婚葬祭業（冠婚葬祭互助会を含む）,1,,,,2,,,,2,,,
797写真プリント，現像・焼付業,3,4,4,3,1,,,,1,,,
798その他の生活関連サービス業,,,,,1,,,,,,,
803ゴルフ場,,,,,1,,,,5,7,7,3
804スポーツ施設提供業（注）,,,,,1,,,,,,,
805公園、遊園地・テーマパーク,3,103,103,103,2,,,,4,5,5,5
サービス業（その他のサービス業を除く）,145,2850,934,783,34,88,64,59,44,296,182,162
880廃棄物処理業,45,203,166,133,4,11,10,9,7,27,24,21
900機械等修理業,43,2332,558,535,8,24,22,20,15,169,78,74
912労働者派遣業,15,43,17,15,3,13,3,3,6,15,9,8
927ディスプレイ業,3,4,3,3,3,6,3,3,4,18,18,18
929その他の事業サービス業,39,268,190,97,16,34,26,24,12,67,53,41
サービス業（その他のサービス業）,49,1480,807,778,20,128,46,42,28,204,161,136
その他の産業,193,4293,2898,2679,60,176,121,111,90,396,296,273
