産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
222鋳鍛造品・その他の鉄鋼製品製造業,57,1568,736,701,21,63,52,48,25,510,265,246
230非鉄金属製造業,153,25555,7770,7124,29,103,67,65,54,2323,1217,1098
231非鉄金属製錬・精製業,37,6901,1803,1473,8,22,17,17,13,601,323,212
232非鉄金属加工品製造業,116,18654,5967,5651,21,81,50,48,41,1722,894,886
240金属製品製造業,450,25350,14575,13653,211,2155,1532,637,290,16539,9612,9259
241建設用・建築用金属製品製造業,138,10714,6565,6136,75,617,341,318,102,9123,5897,5768
249その他の金属製品製造業,312,14636,8010,7517,136,1538,1191,319,188,7416,3715,3491
250はん用機械器具製造業,284,32134,14284,12998,108,1189,710,693,153,4681,3056,2990
251ボイラ・原動機製造業,19,7984,1500,1493,6,11,5,5,9,297,135,135
252ポンプ・圧縮機器製造業,67,5764,3617,3419,30,161,130,124,35,1482,1240,1225
253一般産業用機械・装置製造業,96,7650,4469,4349,41,290,185,176,52,1099,714,697
259その他のはん用機械・同部品製造業,102,10736,4698,3737,31,727,390,388,57,1803,967,933
260生産用機械器具製造業,540,55173,28051,27157,187,1300,891,860,238,6133,3298,3251
261金属加工機械製造業,144,9449,4585,4419,38,403,242,238,70,2096,946,935
262特殊産業用機械製造業,396,45724,23466,22738,149,897,649,622,168,4037,2352,2316
270業務用機械器具製造業,277,143003,52008,46694,106,1901,461,444,174,9872,5272,4960
271事務用・サービス用機械器具製造業,66,105532,36548,32957,22,192,89,87,51,5813,2709,2612
273計量器・測定器（注）,102,16450,7844,7716,51,674,274,264,62,1351,916,909
274医療用機械器具・医療用品製造業,72,13491,5293,3753,25,995,83,78,45,2120,1245,1039
275光学機械器具・レンズ製造業,29,6836,2054,2002,7,,15,15,12,567,382,380
276武器製造業,8,694,269,266,1,,,,4,21,20,20
280電子部品・デバイス・電子回路製造業,228,179314,45889,36212,69,510,282,232,128,10564,4121,3778
290電気機械器具製造業,352,230203,32527,31986,121,1342,533,512,209,40021,7138,7051
291産業用電気機械器具製造業,168,38082,13882,13736,69,529,304,286,93,6254,3176,3156
292民生用電気機械器具製造業,42,158269,6231,6141,11,561,48,47,34,29720,2067,2065
293電子応用装置製造業,27,5389,1735,1646,4,52,34,34,19,465,324,272
299その他の電気機械器具製造業,115,28463,10679,10463,37,200,147,145,63,3582,1571,1558
300情報通信機械器具製造業,130,171585,67039,66593,39,541,163,160,85,60005,3622,3582
301通信機械器具・同関連機械器具製造業,99,97562,10394,10282,30,445,136,133,61,58072,2222,2220
302電子計算機・同附属装置製造業,31,74023,56645,56311,9,96,27,27,24,1933,1400,1362
310輸送用機械器具製造業,468,175688,62318,51399,149,1563,684,569,216,12696,6339,5685
311自動車・同附属品製造業,365,148242,52085,45348,109,1032,442,365,160,8334,4440,3851
319その他の輸送用機械器具製造業,103,27446,10233,6051,40,531,242,204,56,4362,1899,1834
320その他の製造業,182,32006,11248,11055,101,,,,130,9148,6249,6101
電気・ガス業,38,13155,3577,2359,16,35,23,18,18,712,200,155
331電気業,22,7910,2346,1282,9,21,18,13,10,151,54,16
341ガス業,16,5245,1231,1077,7,14,5,5,8,561,146,139
情報通信業,352,26800,19998,19614,45,125,92,89,102,1013,823,799
391ソフトウェア業,243,22587,18779,18484,26,53,36,33,57,535,463,453
392情報処理・提供サービス業,77,2778,901,848,8,19,12,12,19,83,70,69
401インターネット附随サービス業,22,1385,285,249,1,,,,7,56,54,44
411映画・ビデオ制作業（※）,2,,,,2,,,,6,12,6,6
413新聞業,4,,,,,,,,4,206,156,154
414出版業,4,20,16,16,8,50,42,42,9,121,74,73
卸売業,849,81695,29265,26720,378,2079,1276,1172,580,17243,10110,9556
511繊維品卸売業,10,93,65,56,9,39,36,30,11,122,100,75
512衣服・身の回り品卸売業,43,593,338,303,45,142,115,104,65,816,487,450
521農畜産物・水産物卸売業,26,223,163,143,10,31,27,10,20,96,85,76
522食料・飲料卸売業,40,821,585,568,18,76,42,42,38,587,431,344
531建築材料卸売業,87,5414,2339,2228,43,316,96,85,59,2364,1031,1004
532化学製品卸売業,100,3180,1536,1349,28,77,47,41,36,441,384,356
533石油・鉱物卸売業,21,2234,775,740,4,13,4,4,9,72,36,34
534鉄鋼製品卸売業,37,400,263,200,15,27,24,20,19,73,61,54
535非鉄金属卸売業,14,836,518,510,4,4,3,3,4,34,28,28
536再生資源卸売業,7,14,10,8,1,,,,3,5,5,4
541産業機械器具卸売業,100,11403,6059,5794,31,193,97,88,56,1578,1193,1153
542自動車卸売業,17,6098,3026,2624,8,31,28,27,18,960,712,641
543電気機械器具卸売業,85,20324,2266,2188,21,105,42,41,49,3098,770,720
549その他の機械器具卸売業,54,2605,1095,1069,18,35,27,26,23,205,182,175
551家具・建具・じゅう器等卸売業,33,546,425,399,20,110,59,55,31,1199,958,939
552医薬品・化粧品等卸売業,33,1890,1200,1135,11,120,112,97,16,429,390,357
553紙、紙製品卸売業,16,56,45,41,11,65,53,51,10,31,30,29
559その他の卸売業,126,24965,8557,7365,81,,,,113,5133,3227,3117
小売業,111,888,590,494,52,187,131,104,147,2139,1092,842
570織物・衣服・身の回り品小売業,17,90,85,75,11,15,14,11,25,1024,375,343
580飲食料品小売業,12,57,54,43,8,12,10,8,43,523,283,156
591自動車・自転車小売業,8,13,10,9,3,8,8,7,6,20,14,14
593機械器具小売業,13,197,162,159,3,3,2,2,6,17,11,11
602家具・建具・じゅう器小売業,2,,,,4,6,6,6,5,12,12,12
603医薬品・化粧品小売業,9,238,70,68,4,5,5,5,14,82,64,47
605燃料小売業,13,43,26,10,3,14,13,6,9,18,13,11
609その他の小売業,22,,,,9,32,23,13,30,306,236,176
610無店舗小売業,15,63,44,44,7,92,50,46,9,137,84,72
クレジットカード業、割賦金融業,6,87,23,22,,,,,9,41,23,22
物品賃貸業,35,290,224,198,16,65,57,57,19,121,58,55
702産業用機械器具賃貸業（レンタルを含む）,29,258,199,175,13,54,46,46,16,104,53,50
703事務用機械器具賃貸業（レンタルを含む）,,,,,1,,,,1,,,
704自動車賃貸業（レンタルを除く）,2,,,,1,,,,1,,,
705スポーツ・娯楽用品賃貸業（レンタルを含む）,1,,,,,,,,,,,
708その他の物品賃貸業（レンタルを含む）,3,24,17,16,1,,,,1,,,
学術研究、専門・技術サービス業,145,13534,4877,4149,33,131,87,86,56,365,248,241
710学術・開発研究機関,31,4553,1391,787,3,11,6,6,8,39,31,31
726デザイン業,3,,,,2,,,,2,,,
728エンジニアリング業,61,7213,3276,3172,12,73,48,48,25,212,174,170
730広告業,18,1015,83,72,10,34,25,25,13,74,12,10
743機械設計業,10,613,47,44,2,,,,3,9,9,9
744商品・非破壊検査業,9,103,52,51,1,,,,,,,
745計量証明業,12,30,24,19,3,5,4,3,4,8,7,6
746写真業,1,,,,,,,,1,,,
飲食サービス業,21,73,59,56,6,10,8,8,35,174,112,99
760一般飲食店,18,70,57,54,5,,8,8,32,171,110,98
770持ち帰り・配達飲食サービス業,3,3,2,2,1,,,,3,3,2,1
生活関連サービス業、娯楽業,22,298,258,234,11,,,,22,143,141,133
781洗濯業,9,155,143,139,2,,,,4,83,82,78
789その他の洗濯・理容・美容業・浴場業,7,36,28,8,2,,,,4,,,
796冠婚葬祭業（冠婚葬祭互助会を含む）,1,,,,3,3,3,3,4,32,32,32
797写真現像・焼付業,2,,,,1,,,,,,,
803ゴルフ場,,,,,,,,,5,7,7,3
804スポーツ施設提供業（注）,,,,,,,,,1,,,
805公園、遊園地・テーマパーク,3,101,81,81,3,15,13,13,4,4,3,3
サービス業（その他のサービス業を除く）,141,2669,867,796,37,83,73,63,42,280,164,153
880廃棄物処理業,34,162,111,94,3,10,9,8,8,27,24,22
900機械等修理業,48,2255,536,510,11,32,32,30,15,188,87,83
912労働者派遣業,17,24,12,10,4,5,4,3,4,7,6,6
927ディスプレイ業,3,5,2,2,3,7,3,2,3,12,12,12
928テレマーケティング業,1,,,,,,,,1,,,
929その他の事業サービス業,38,,,180,16,29,25,20,11,,,
サービス業（その他のサービス業）,45,1384,682,654,20,51,42,37,25,250,159,140
その他の産業,183,6002,2373,2197,65,232,152,142,82,683,342,323
